,Date,Team,Acquired,Relinquished,Notes
1,1990-09-04,Jets,• Freeman McNeil,,recalled off waivers
2,1990-09-04,Jets,• John Galvin,,recalled off waivers
3,1990-09-04,Jets,• Troy Johnson (Antwain),,claimed off waivers (from Bears)
4,1990-09-05,Jets,,• Keith Neubert,released
5,1990-09-09,Jets,• Erik McMillan,,re-signed to a contract extension through 1991
6,1990-09-11,Jets,,• A.B. Brown,placed on IR
7,1990-09-11,Jets,• Don Odegard,,signed free agent
8,1990-09-18,Jets,,• Carl Byrum,waived
9,1990-09-19,Jets,,• Dan Murray,waived
10,1990-09-19,Jets,• Carl Howard,,signed free agent
11,1990-10-01,Jets,• Mac Stephens,,signed free agent to practice squad
12,1990-10-09,Jets,,• Dave Cadigan,placed on IR
13,1990-10-10,Jets,,• Carl Howard,released
14,1990-10-13,Jets,• Dale Dawkins,,activated from IR
15,1990-10-13,Jets,• Dwayne White,,activated from IR
16,1990-10-15,Jets,• Dennis Price,• Alex Gordon,trade with Raiders
17,1990-10-29,Jets,,• Dennis Price,placed on IR
18,1990-10-31,Jets,• Mark Hofland,,signed free agent to practice squad
19,1990-11-07,Jets,,• Emanuel McNeil / Emmanuel McNeil,placed on IR
20,1990-11-07,Jets,• Ken Johnson / Kenneth Johnson?,,signed
21,1990-11-12,Jets,,• Rich Miano,waived
22,1990-11-13,Jets,,• Rich Miano,released
23,1990-11-25,Jets,,• Ken Johnson / Kenneth Johnson?,waived
24,1990-11-25,Jets,• Scott Jones,,activated from IR
25,1990-11-30,Jets,,• John Booty,placed on IR
1,1990-11-30,Jets,• Mac Stephens,,signed from practice squad to active roster
2,1990-12-06,Jets,,• John Galvin,waived
3,1990-12-07,Jets,,• John Galvin,released
4,1990-12-11,Jets,• John Galvin,,signed free agent
5,1990-12-20,Jets,,• Joe Kelly (Winston),placed on IR
6,1990-12-28,Jets,,• Al Toon,placed on IR
7,1991-01-31,Jets,• Ron Mattes,• 1992 twelfth round pick (#320-John MacNeill),trade with Seahawks
8,1991-02-01,Jets,• Irv Eatman,• Ron Stallworth,trade with Chiefs
9,1991-02-15,Jets,• Al Roberts,,hired as special teams coach
10,1991-02-15,Jets,• Serafino Fazio / Foge Fazio,,promoted to linebackers coach
11,1991-02-19,Jets,,• Marty Lyons,retired
12,1991-03-05,Jets,• Chris Goetz,,signed free agent
13,1991-03-11,Jets,• Bruce Holmes,,signed free agent
14,1991-03-11,Jets,• Michael Brim / Mike Brim,,signed free agent
15,1991-03-15,Jets,• John Bosa,,signed Plan B free agent (from Dolphins)
16,1991-03-19,Jets,• Bill Pickel,,signed Plan B free agent
17,1991-03-25,Jets,• R.J. Kors,,signed free agent
18,1991-03-27,Jets,• Bobby Houston,,signed Plan B free agent (from Falcons)
19,1991-04-05,Jets,,• Terry Williams (b. 1965-10-14),released
20,1991-04-10,Jets,• Johnny Hector,,signed
21,1991-04-10,Jets,• Turk Schonert,,signed
22,1991-04-16,Jets,• John Levelis,• past considerations (?),trade with 49ers
23,1991-04-21,Jets,• 1991 third round pick (#63-Mo Lewis),• 1991 third round pick (#67-Don Davey)  • 1991 fifth round pick (#121-Gene Williams III),trade with Packers
24,1991-04-21,Jets,• Browning Nagle,,1991 NFL draft second round pick (#34 overall)
25,1991-04-21,Jets,• Mo Lewis,,1991 NFL draft third round pick (#62 overall)
1,1991-04-21,Jets,• Mark Gunn,,1991 NFL draft fourth round pick (#94 overall)
2,1991-04-22,Jets,• Blaise Bryant,,1991 NFL draft sixth round pick (#148 overall)
3,1991-04-22,Jets,• Mike Riley,,1991 NFL draft sixth round pick (#160 overall)
4,1991-04-22,Jets,• Doug Parrish,,1991 NFL draft seventh round pick (#175 overall)
5,1991-04-22,Jets,• Tim James (b),,1991 NFL draft eighth round pick (#202 overall)
6,1991-04-22,Jets,• Paul Glonek,,1991 NFL draft ninth round pick (#234 overall)
7,1991-04-22,Jets,• Al Baker (b),,1991 NFL draft tenth round pick (#261 overall)
8,1991-04-22,Jets,• Rocen Keeton,,1991 NFL draft eleventh round pick (#288 overall)
9,1991-04-22,Jets,• Mark Hayes,,1991 NFL draft twelfth round pick (#315 overall)
10,1991-04-23,Jets,• Jim Scully,,signed
11,1991-04-25,Jets,• Kip Beach,,signed
12,1991-04-25,Jets,• Pete Balistrieri,,signed
13,1991-04-25,Jets,• Reggie Moore,,signed
14,1991-04-26,Jets,,• Troy Benson,waived
15,1991-04-26,Jets,• Pat Kirwin,,hired as assistant director of pro personnel
16,1991-05-03,Jets,• Brian Washington,,re-signed
17,1991-05-04,Jets,• Blaise Bryant,,signed sixth round pick
18,1991-05-04,Jets,• Leroy Kinard,,signed
19,1991-05-04,Jets,• Marvin Washington,,re-signed
20,1991-05-04,Jets,• Matt Swinson,,signed
21,1991-05-04,Jets,• Phil Logan,,signed
22,1991-05-04,Jets,• Richard Isaiah / Rick Isaiah,,signed
23,1991-05-04,Jets,• Ron Young,,signed
24,1991-05-05,Jets,• Chris Burkett,,re-signed
25,1991-05-16,Jets,,• Tony Eason,"team declined to tender contract, making player a free agent"
1,1991-06-11,Jets,• Mark Gunn,,signed fourth round pick
2,1991-06-12,Jets,• Lonnie Young,• 1993 ninth round pick (#239-Tyrone Williams),trade with Cardinals
3,1991-06-18,Jets,• Louie Aguiar,,signed free agent
4,1991-06-19,Jets,• Chris Dressell,,re-signed
5,1991-06-25,Jets,,• Paul Frase,contract disapproved
6,1991-07-08,Jets,• Browning Nagle,,signed second round pick
7,1991-07-12,Jets,,• Jim Scully,waived
8,1991-07-12,Jets,,• John Levelis,waived
9,1991-07-12,Jets,,• Matt Swinson,waived
10,1991-07-12,Jets,• Doug Parrish,,signed seventh round pick
11,1991-07-12,Jets,• future considerations (?),• Kip Beach,trade with Patriots
12,1991-07-12,Jets,• John Galvin,,re-signed
13,1991-07-17,Jets,,• Dennis Price,placed on active/physically unable to perform list
14,1991-07-17,Jets,,• JoJo Townsell / Jo-Jo Townsell,placed on active/physically unable to perform list
15,1991-07-17,Jets,,• Troy Taylor,placed on physically unable to perform list
16,1991-07-18,Jets,,• Mac Stephens,waived
17,1991-07-18,Jets,• Mo Lewis,,signed third round pick
18,1991-07-19,Jets,,• Mac Stephens,released
19,1991-07-22,Jets,,• Patrick Egu,waived-injured
20,1991-07-22,Jets,• Troy Johnson (Antwain),,re-signed
21,1991-07-22,Jets,• Troy Taylor,,activated from physically unable to perform list
22,1991-07-23,Jets,,• Patrick Egu,placed on IR
23,1991-08-13,Jets,,• Bruce Holmes,waived
24,1991-08-14,Jets,,• Bruce Holmes,released
25,1991-08-19,Jets,,• A.B. Brown,placed on physically unable to perform list
1,1991-08-19,Jets,,• Chris Goetz,placed on IR
2,1991-08-19,Jets,,• Dennis Price,placed on reserve/physically unable to perform list
3,1991-08-19,Jets,,• Doug Parrish,waived
4,1991-08-19,Jets,,• Grantis Bell,waived
5,1991-08-19,Jets,,• JoJo Townsell / Jo-Jo Townsell,placed on reserve/physically unable to perform list
6,1991-08-19,Jets,,• Mark Hayes,waived
7,1991-08-19,Jets,,• Mike Riley,waived
8,1991-08-19,Jets,,• Paul Glonek,waived
9,1991-08-19,Jets,,• Pete Balistrieri,waived
10,1991-08-19,Jets,,• Phil Logan,waived
11,1991-08-19,Jets,,• Rocen Keeton,waived
12,1991-08-19,Jets,,• Ron Young,waived
13,1991-08-19,Jets,,• Tim James (b),waived
14,1991-08-19,Jets,• 1992 conditional eighth round pick (if Mattes makes Bears roster) (#219-Vincent Brownlee),• Ron Mattes,trade with Bears
15,1991-08-20,Jets,,• Dave Zawatson,waived
16,1991-08-20,Jets,,• Pepper Jenkins,waived
17,1991-08-22,Jets,• Don Odegard,,re-signed
18,1991-08-26,Jets,,• Blaise Bryant,waived
19,1991-08-26,Jets,,• Chris Dressell,waived
20,1991-08-26,Jets,,• Doug Wellsandt,waived
21,1991-08-26,Jets,,• Gerald Nichols,waived
22,1991-08-26,Jets,,• Joe Mott,placed on IR
23,1991-08-26,Jets,,• Joe Prokop,waived
24,1991-08-26,Jets,,• John Bosa,waived
25,1991-08-26,Jets,,• Kenneth Johnson,waived
1,1991-08-26,Jets,,• Leroy Kinard,waived
2,1991-08-26,Jets,,• Michael Mayes / Mike Mayes,waived
3,1991-08-26,Jets,,• Patrick Egu,placed on IR
4,1991-08-26,Jets,,• Reggie Moore,waived
5,1991-08-26,Jets,,• Travis Curtis,waived
6,1991-08-26,Jets,,• Turk Schonert,waived
7,1991-08-26,Jets,• Terance Mathis,,re-signed
8,1991-08-27,Jets,,• Doug Wellsandt,released
9,1991-08-27,Jets,,• Joe Prokop,released
10,1991-08-27,Jets,,• Michael Mayes / Mike Mayes,released
11,1991-08-27,Jets,,• Mike Haight,placed on IR
12,1991-08-27,Jets,,• Pat Kelly (Joseph),waived
13,1991-08-27,Jets,• Chris Dressell,,recalled off waivers
14,1991-08-27,Jets,• Ken Whisenhunt,,claimed off waivers (from Redskins)
15,1991-08-27,Jets,• Paul Frase,,signed free agent
16,1991-08-28,Jets,,• Pat Kelly (Joseph),released
17,1991-09-17,Jets,,• James Bradley,waived from practice squad
18,1991-09-17,Jets,• Leroy Kinard,,signed free agent to practice squad
19,1991-10-01,Jets,,• Mike Haight,placed on IR
20,1991-10-09,Jets,,• Mark Boyer,placed on IR
21,1991-10-09,Jets,• Pat Kelly (Joseph),,signed free agent
22,1991-10-15,Jets,,• Ken Whisenhunt,placed on IR
23,1991-10-18,Jets,,• Freeman McNeil,placed on IR
24,1991-10-18,Jets,• Mike Haight,,activated from IR
25,1991-10-19,Jets,• A.B. Brown,,activated from physically unable to perform list
1,1991-10-24,Jets,• Corwin Anthony,,signed free agent to practice squad
2,1991-10-24,Jets,,• JoJo Townsell / Jo-Jo Townsell,retired
3,1991-10-24,Jets,,• JoJo Townsell / Jo-Jo Townsell,placed on reserve/retired list
4,1991-11-08,Jets,,• Lonnie Young,placed on IR
5,1991-11-08,Jets,• Mark Boyer,,activated from IR
6,1991-11-13,Jets,,• Freeman McNeil,placed on practice squad
7,1991-11-13,Jets,,• John Galvin,waived
8,1991-11-14,Jets,,• John Galvin,released
9,1991-11-15,Jets,• Freeman McNeil,,activated from IR
10,1991-11-26,Jets,,• Ron Wolf (a),resigned as director of player personnel (date approximate)
11,1991-12-07,Jets,• Lonnie Young,,activated from IR
12,1991-12-17,Jets,,• Dale Dawkins,placed on reserve/non-football injury list
13,1991-12-17,Jets,• Raul Allegre,,signed free agent
14,1991-12-27,Jets,,• Pat Leahy,placed on IR
15,1992-01-18,Jets,• Dick Haley / George Haley Jr.? / Dick Haley Jr.?,,hired as director of player personnel
16,1992-01-30,Jets,• Joe Mott,,signed
17,1992-01-30,Jets,• Pat Kelly (Joseph),,signed
18,1992-01-31,Jets,• Dennis Price,,signed
19,1992-02-01,Jets,• Ken Whisenhunt,,activated from IR
20,1992-02-01,Jets,• Patrick Egu,,activated from IR
21,1992-02-02,Jets,,• Al Toon,player became a free agent
22,1992-02-02,Jets,,• Chris Dressell,player became a free agent
23,1992-02-02,Jets,,• Dale Dawkins,player became a free agent
24,1992-02-02,Jets,,• Dave Cadigan,player became a free agent
25,1992-02-02,Jets,,• Freeman McNeil,player became a free agent
1,1992-02-02,Jets,,• Johnny Hector,player became a free agent
2,1992-02-02,Jets,,• Ken O'Brien,player became a free agent
3,1992-02-02,Jets,,• Lonnie Young,player became a free agent
4,1992-02-02,Jets,,• Mark Boyer,player became a free agent
5,1992-02-02,Jets,,• Paul Frase,player became a free agent
6,1992-02-02,Jets,,• Roger Duffy,player became a free agent
7,1992-02-02,Jets,,• Troy Johnson (Antwain),player became a free agent
8,1992-02-02,Jets,,• Chris Dressell,team declined to tender qualifying offer
9,1992-02-02,Jets,,• Dale Dawkins,team declined to tender qualifying offer
10,1992-02-02,Jets,,• Freeman McNeil,team declined to tender qualifying offer
11,1992-02-02,Jets,,• Troy Johnson (Antwain),team declined to tender qualifying offer
12,1992-02-02,Jets,• Al Toon,,team tendered qualifying offer
13,1992-02-02,Jets,• Dave Cadigan,,team tendered qualifying offer
14,1992-02-02,Jets,• Johnny Hector,,team tendered qualifying offer
15,1992-02-02,Jets,• Ken O'Brien,,team tendered qualifying offer
16,1992-02-02,Jets,• Lonnie Young,,team tendered qualifying offer
17,1992-02-02,Jets,• Mark Boyer,,team tendered qualifying offer
18,1992-02-02,Jets,• Paul Frase,,team tendered qualifying offer
19,1992-02-02,Jets,• Roger Duffy,,team tendered qualifying offer
20,1992-03-03,Jets,• Derrick Gardner,,signed free agent
21,1992-03-03,Jets,• Donnie Gardner,,signed Plan B free agent (from Dolphins)
22,1992-03-06,Jets,• Jason Staurovsky,,signed free agent
23,1992-03-13,Jets,• Joe Fishback,,signed free agent
24,1992-03-16,Jets,• Rob Carpenter (b. 1968-08-01),,signed free agent
25,1992-03-18,Jets,• Troy Sadowski,,signed free agent
1,1992-03-20,Jets,,• Trevor Matich,lost Plan B free agent (to Colts)
2,1992-03-23,Jets,• Al Toon,,re-signed free agent
3,1992-03-23,Jets,• Pat Chaffey,,signed free agent
4,1992-03-30,Jets,• Roy Hart,,signed free agent
5,1992-03-30,Jets,• Pat Beach,,signed Plan B free agent
6,1992-03-31,Jets,• Marcus Turner,,signed free agent
7,1992-04-03,Jets,• Freeman McNeil,,re-signed free agent
8,1992-04-16,Jets,• Raul Allegre,,re-signed free agent
9,1992-04-20,Jets,• 1992 sixth round pick (#166-Jeff Blake),• 1992 seventh round pick (#181-Jim Johnson (b))  • 1992 eighth round pick (#208-Dietrich Lockridge),trade with Broncos
10,1992-04-22,Jets,• Bruce Collie,,signed free agent
11,1992-04-26,Jets,• Johnnie Mitchell / Johnny Mitchell,,1992 NFL draft first round pick (#15 overall)
12,1992-04-26,Jets,• Kurt Barber,,1992 NFL draft second round pick (#42 overall)
13,1992-04-26,Jets,• Siupeli Malamala,,1992 NFL draft third round pick (#68 overall)
14,1992-04-27,Jets,• Keo Coleman,,1992 NFL draft fourth round pick (#96 overall)
15,1992-04-27,Jets,• Cal Dixon,,1992 NFL draft fifth round pick (#127 overall)
16,1992-04-27,Jets,• Glenn Cadrez,,1992 NFL draft sixth round pick (#154 overall)
17,1992-04-27,Jets,• Jeff Blake,,1992 NFL draft sixth round pick (#166 overall)
18,1992-04-27,Jets,• Vincent Brownlee,,1992 NFL draft eighth round pick (#219 overall)
19,1992-04-27,Jets,• Mario Johnson,,1992 NFL draft tenth round pick (#266 overall)
20,1992-04-27,Jets,• Eric Boles,,1992 NFL draft eleventh round pick (#293 overall)
21,1992-05-05,Jets,• Matt Willig,,signed free agent
22,1992-05-07,Jets,• Louie Aguiar,,signed
23,1992-05-09,Jets,• Dale Dawkins,,re-signed free agent
24,1992-05-15,Jets,• Roger Duffy,,re-signed free agent
25,1992-07-01,Jets,• Paul Alexander,,hired as tight ends coach (date approximate)
1,1992-07-01,Jets,• Paul Frase,,re-signed free agent
2,1992-07-06,Jets,• Lonnie Young,,re-signed free agent
3,1992-07-06,Jets,• Troy Johnson (Antwain),,re-signed free agent
4,1992-07-14,Jets,• Eric Boles,,signed eleventh round pick
5,1992-07-14,Jets,• Glenn Cadrez,,signed sixth round pick
6,1992-07-14,Jets,• Jeff Blake,,signed sixth round pick
7,1992-07-14,Jets,• Johnny Hector,,re-signed free agent
8,1992-07-14,Jets,• Kurt Barber,,signed second round pick
9,1992-07-14,Jets,• Siupeli Malamala,,signed third round pick
10,1992-07-15,Jets,,• Dale Dawkins,placed on non-football injury list
11,1992-07-15,Jets,,• Ken Whisenhunt,placed on physically unable to perform list
12,1992-07-15,Jets,• Cal Dixon,,signed fifth round pick
13,1992-07-15,Jets,• Johnnie Mitchell / Johnny Mitchell,,signed first round pick
14,1992-07-15,Jets,• Keo Coleman,,signed fourth round pick
15,1992-07-15,Jets,• Mark Boyer,,re-signed free agent
16,1992-07-20,Jets,• Kerwin Bell,,signed free agent
17,1992-07-22,Jets,• Mike Norseth,,signed free agent
18,1992-07-30,Jets,• Dwayne White,,re-signed
19,1992-07-31,Jets,,• Derrick Gardner,waived
20,1992-08-03,Jets,,• Derrick Gardner,released
21,1992-08-04,Jets,• Dave Cadigan,,re-signed free agent
22,1992-08-17,Jets,• Ken O'Brien,,re-signed free agent to a series of two 1-year contracts
23,1992-08-18,Jets,,• Ken O'Brien,placed on exempt/commissioner permission list
24,1992-08-18,Jets,,• Kerwin Bell,waived
25,1992-08-19,Jets,,• Kerwin Bell,released
1,1992-08-19,Jets,,• Pat Kelly (Joseph),waived
2,1992-08-20,Jets,,• Pat Kelly (Joseph),released
3,1992-08-21,Jets,,• Don Odegard,released
4,1992-08-21,Jets,• Ken O'Brien,,activated from exempt/commissioner permission list
5,1992-08-24,Jets,,• Bruce Collie,waived
6,1992-08-24,Jets,,• Dale Dawkins,placed on reserve/non-football injury list
7,1992-08-24,Jets,,• Eric Boles,placed on IR
8,1992-08-24,Jets,,• Joe Mott,waived
9,1992-08-24,Jets,,• Ken Whisenhunt,placed on reserve/physically unable to perform list
10,1992-08-24,Jets,,• Matt Willig,waived
11,1992-08-24,Jets,,• Mike Norseth,waived
12,1992-08-24,Jets,,• Roy Hart,waived
13,1992-08-25,Jets,,• Bruce Collie,released
14,1992-08-25,Jets,,• Claude Jones,waived
15,1992-08-25,Jets,,• Joe Mott,released
16,1992-08-25,Jets,,• Kelvin Fisher,waived
17,1992-08-25,Jets,,• Matt Willig,released
18,1992-08-25,Jets,,• Mike Norseth,released
19,1992-08-25,Jets,,• Patrick Nelson,waived
20,1992-08-25,Jets,,• Roy Hart,released
21,1992-08-25,Jets,,• Thomas Woods,waived
22,1992-08-25,Jets,,• Wayne Williams (b),waived
23,1992-08-26,Jets,,• A.B. Brown,released (injury settlement)
24,1992-08-28,Jets,,• Raul Allegre,waived
25,1992-08-31,Jets,,• Bill Pickel,waived
1,1992-08-31,Jets,,• Johnny Hector,waived
2,1992-08-31,Jets,,• Keo Coleman,waived
3,1992-08-31,Jets,,• Mike Haight,waived
4,1992-08-31,Jets,,• Pat Beach,waived
5,1992-08-31,Jets,,• R.J. Kors,waived
6,1992-08-31,Jets,,• Tony Stargell,waived
7,1992-08-31,Jets,,• Troy Johnson (Antwain),waived
8,1992-09-01,Jets,,• Johnny Hector,released
9,1992-09-01,Jets,,• Keo Coleman,released
10,1992-09-01,Jets,,• Mike Haight,released
11,1992-09-01,Jets,,• R.J. Kors,released
12,1992-09-01,Jets,,• Raul Allegre,released
13,1992-09-01,Jets,,• Siupeli Malamala,placed on IR
14,1992-09-01,Jets,,• Troy Johnson (Antwain),released
15,1992-09-01,Jets,,• Troy Taylor,released
16,1992-09-01,Jets,• Bill Pickel,,signed free agent
17,1992-09-02,Jets,• Jeff Criswell,,signed
18,1992-09-02,Jets,• Keo Coleman,,signed free agent to practice squad
19,1992-09-02,Jets,• Matt Willig,,signed free agent to practice squad
20,1992-09-08,Jets,,• Johnnie Mitchell / Johnny Mitchell,placed on IR with sprained left shoulder
21,1992-09-09,Jets,,• Patrick Nelson,released from practice squad
22,1992-09-09,Jets,• Anthony Prior,,signed to practice squad
23,1992-09-09,Jets,• Dennis Byrd (DeWayne),,re-signed
24,1992-09-09,Jets,• Eric Kattus,,signed free agent
25,1992-09-15,Jets,,• Jeff Lageman,placed on IR
1,1992-09-16,Jets,• R.J. Kors,,signed free agent
2,1992-09-28,Jets,,• Dennis Byrd (DeWayne),placed on IR
3,1992-09-28,Jets,• Cary Blanchard,,claimed off waivers (from Saints)
4,1992-09-29,Jets,,• Anthony Prior,waived from practice squad
5,1992-09-29,Jets,,• Jason Staurovsky,waived
6,1992-09-30,Jets,,• Jason Staurovsky,released
7,1992-09-30,Jets,• Karl Wilson (Wendell),,signed free agent
8,1992-10-06,Jets,,• Eric Kattus,waived
9,1992-10-07,Jets,,• Eric Kattus,released
10,1992-10-20,Jets,,• Joe Fishback,waived
11,1992-10-21,Jets,,• Joe Fishback,released
12,1992-10-23,Jets,• Huey Richardson,,signed free agent
13,1992-10-26,Jets,,• Brett Miller,waived
14,1992-10-26,Jets,,• Troy Sadowski,waived
15,1992-10-26,Jets,• Johnnie Mitchell / Johnny Mitchell,,activated from IR
16,1992-10-26,Jets,• Ken Whisenhunt,,activated from reserve/physically unable to perform list
17,1992-10-27,Jets,,• Brett Miller,released
18,1992-10-27,Jets,,• Troy Sadowski,released
19,1992-10-28,Jets,,• Karl Wilson (Wendell),waived
20,1992-10-29,Jets,,• Karl Wilson (Wendell),released
21,1992-10-30,Jets,,• Bill Pickel,placed on IR
22,1992-10-30,Jets,• Dennis Byrd (DeWayne),,activated from IR
23,1992-10-31,Jets,• Dennis Byrd (DeWayne),,signed from practice squad to active roster
24,1992-11-05,Jets,• Donald Jones / Don Jones (Ray),,signed free agent to practice squad
25,1992-11-13,Jets,,• Joe Kelly (Winston),placed on IR
1,1992-11-13,Jets,• Keo Coleman,,signed from practice squad to active roster
2,1992-11-17,Jets,• Johnny Hector,,signed free agent
3,1992-11-17,Jets,,• Johnny Hector,waived
4,1992-11-18,Jets,• Johnny Hector,,recalled off waivers
5,1992-11-20,Jets,,• Al Toon,placed on IR
6,1992-11-20,Jets,• Dale Dawkins,,activated from reserve/non-football injury list
7,1992-11-27,Jets,,• Al Toon,retired
8,1992-11-29,Jets,,• Dennis Byrd (DeWayne),spinal injury (partially paralyzed)
9,1992-12-02,Jets,,• Blair Thomas,placed on IR
10,1992-12-02,Jets,,• Dennis Byrd (DeWayne),placed on IR with spinal injury
11,1992-12-02,Jets,,• Irv Eatman,placed on IR
12,1992-12-02,Jets,,• Ken O'Brien,placed on IR
13,1992-12-02,Jets,• Brett Miller,,signed free agent
14,1992-12-02,Jets,• Mike Norseth,,signed free agent
15,1992-12-03,Jets,,• Dennis Byrd (DeWayne),spinal surgery (out indefinitely)
16,1992-12-04,Jets,• Bill Pickel,,activated from IR
17,1992-12-06,Jets,• Bill Pickel,,signed from practice squad to active roster
18,1992-12-08,Jets,,• Lonnie Young,placed on IR
19,1992-12-09,Jets,• Kevin Porter,,claimed off waivers (from Chiefs)
20,1992-12-14,Jets,,• Pat Chaffey,placed on IR
21,1992-12-16,Jets,• Scottie Graham,,signed free agent
22,1992-12-17,Jets,,• Huey Richardson,waived
23,1992-12-18,Jets,,• Huey Richardson,released
24,1992-12-18,Jets,• Donald Jones / Don Jones (Ray),,signed from practice squad to active roster
25,1992-12-21,Jets,,• Freeman McNeil,placed on IR
1,1992-12-21,Jets,• Sheldon Canley,,claimed off waivers (from 49ers)
2,1992-12-24,Jets,,• Jeff Criswell,placed on IR
3,1992-12-24,Jets,• Matt Willig,,signed from practice squad to active roster
4,1993-02-01,Jets,• Freeman McNeil,,activated from IR
5,1993-02-01,Jets,• Irv Eatman,,activated from IR
6,1993-02-01,Jets,• Jeff Criswell,,activated from IR
7,1993-02-01,Jets,• Joe Kelly (Winston),,activated from IR
8,1993-02-02,Jets,,• Bobby Houston,player became a free agent
9,1993-02-02,Jets,,• Brad Baxter,player became an unrestricted free agent
10,1993-02-02,Jets,,• Brian Washington,player became a free agent
11,1993-02-02,Jets,,• Browning Nagle,player became a free agent
12,1993-02-02,Jets,,• Dale Dawkins,player became a free agent
13,1993-02-02,Jets,,• James Hasty,player became a free agent
14,1993-02-02,Jets,,• Jeff Lageman,player became a free agent
15,1993-02-02,Jets,,• Marvin Washington,player became a free agent
16,1993-02-02,Jets,,• Paul Frase,player became a free agent
17,1993-02-02,Jets,,• R.J. Kors,player became a free agent
18,1993-02-05,Jets,• Johnny Roland,,hired as running backs coach
19,1993-02-18,Jets,• Bruce Coslet,,re-signed as head coach to a 1-year contract extension through 1994 season
20,1993-02-25,Jets,• James Hasty,,designated as transition player
21,1993-02-25,Jets,• Jeff Lageman,,re-signed free agent to a series of 1-year contracts
22,1993-02-25,Jets,• Rob Moore,,designated as transition player (future)
23,1993-02-28,Jets,,• Scott Mersereau,player became an unrestricted free agent
24,1993-02-28,Jets,• Brad Baxter,,team tendered qualifying offer
25,1993-02-28,Jets,• Brian Washington,,team tendered qualifying offer
1,1993-02-28,Jets,• Dale Dawkins,,team tendered qualifying offer
2,1993-02-28,Jets,• Marvin Washington,,team tendered qualifying offer
3,1993-02-28,Jets,• Paul Frase,,team tendered qualifying offer
4,1993-02-28,Jets,• R.J. Kors,,team tendered qualifying offer
5,1993-02-28,Jets,,• Bill Pickel,player became an unrestricted free agent
6,1993-02-28,Jets,,• Chris Burkett,player became an unrestricted free agent
7,1993-02-28,Jets,,• Erik McMillan,player became an unrestricted free agent
8,1993-02-28,Jets,,• Irv Eatman,player became an unrestricted free agent
9,1993-02-28,Jets,,• Joe Kelly (Winston),player became an unrestricted free agent
10,1993-02-28,Jets,,• Michael Brim / Mike Brim,player became an unrestricted free agent
11,1993-03-01,Jets,• Karl Wilson (Wendell),,signed free agent
12,1993-03-04,Jets,• Paul Richardson Sr.,,signed free agent
13,1993-03-08,Jets,• Leonard Marshall,,signed unrestricted free agent to a 3-year contract
14,1993-03-08,Jets,• Ronnie Lott,,signed unrestricted free agent to a 2-year contract
15,1993-03-09,Jets,• James Brown (Lamont),,signed free agent
16,1993-03-11,Jets,• Chris Burkett,,re-signed unrestricted free agent to a 2-year contract
17,1993-03-17,Jets,• Boomer Esiason,• 1993 third round pick (#59-Steve Tovar)  • 1994 conditional pick (based on performance criteria for Esiason) (not exercised),trade with Bengals
18,1993-03-29,Jets,• Anthony Prior,,signed free agent
19,1993-03-31,Jets,• Mario Bailey,,signed free agent
20,1993-04-01,Jets,• Marvin Washington,,re-signed free agent (Jets matched offer sheet)
21,1993-04-05,Jets,• 1993 fifth round pick (#129-Kenny Shedd),• Ken O'Brien,trade with Packers
22,1993-04-05,Jets,• James Thornton / Jim Thornton (Michael),,signed unrestricted free agent
23,1993-04-08,Jets,• Eric Thomas (Jason),,signed unrestricted free agent
24,1993-04-20,Jets,• Troy Sadowski,,signed free agent
25,1993-04-21,Jets,,• Freeman McNeil,retired
1,1993-04-25,Jets,• 1993 second round pick (#36-Coleman Rudolph)  • 1993 fifth round pick (#120-Adrian Murrell),• 1993 second round pick (#33-Ryan McNeil),trade with Lions
2,1993-04-25,Jets,• Johnny Johnson (a)  • 1993 first round pick (#4-Marvin Jones (Maurice)),• 1993 first round pick (#3-Garrison Hearst),trade with Cardinals
3,1993-04-25,Jets,• Marvin Jones (Maurice),,1993 NFL draft first round pick (#4 overall)
4,1993-04-25,Jets,• Coleman Rudolph,,1993 NFL draft second round pick (#36 overall)
5,1993-04-25,Jets,• David Ware,,1993 NFL draft fourth round pick (#88 overall)
6,1993-04-26,Jets,• Clifford Hicks / Cliff Hicks,,signed unrestricted free agent
7,1993-04-26,Jets,• Adrian Murrell,,1993 NFL draft fifth round pick (#120 overall)
8,1993-04-26,Jets,• Fred Baxter,,1993 NFL draft fifth round pick (#115 overall)
9,1993-04-26,Jets,• Kenny Shedd,,1993 NFL draft fifth round pick (#129 overall)
10,1993-04-26,Jets,• Richie Anderson,,1993 NFL draft sixth round pick (#144 overall)
11,1993-04-26,Jets,• Alec Millen,,1993 NFL draft seventh round pick (#171 overall)
12,1993-04-26,Jets,• Craig Hentrich,,1993 NFL draft eighth round pick (#200 overall)
13,1993-04-27,Jets,• Rob Davis (Emmett),,signed undrafted free agent
14,1993-04-28,Jets,• David Tate,,signed unrestricted free agent
15,1993-04-29,Jets,• Victor Green,,signed undrafted free agent
16,1993-04-30,Jets,• Brian Washington,,re-signed free agent
17,1993-05-04,Jets,• Boomer Esiason,,re-signed to a renegotiated contract
18,1993-05-05,Jets,• Brad Baxter,,signed
19,1993-05-05,Jets,• Jeff Esters,,signed free agent
20,1993-05-05,Jets,• Paul Frase,,re-signed free agent
21,1993-05-07,Jets,• John Bruhin,,signed free agent
