,0,1,2
3060,Cardinals,Titans,2023
3061,Raiders,Chiefs,2020
3062,Chiefs,Dolphins,2020
3063,49ers,Texans,2017
3064,Texans,Panthers,2019
3065,Falcons,Commanders,2008
3066,Commanders,Raiders,2008
3067,Raiders,Commanders,2009
3068,Panthers,Steelers,2015
3069,49ers,Colts,2020
3070,Commanders,Lions,2013
3071,Rams,Saints,2006
3072,Cowboys,Eagles,2015
3073,Eagles,Titans,2016
3074,Raiders,Steelers,2012
3075,Broncos,Texans,2021
3076,Texans,Titans,2022
3077,Titans,Bears,2023
3078,Cowboys,Broncos,2014
3079,Saints,Panthers,2011
3080,Texans,Eagles,2012
3081,Chargers,Texans,2002
3082,Chargers,Titans,2006
3083,Ravens,Chargers,2000
3084,Chargers,Titans,2001
3085,Eagles,Commanders,2014
3086,Commanders,Buccaneers,2017
3087,Buccaneers,Eagles,2019
3088,Raiders,Rams,2021
3089,Eagles,Raiders,2021
3090,Rams,Ravens,2022
3091,Panthers,49ers,2008
3092,Seahawks,Lions,2018
3093,Bengals,Broncos,2020
3094,Broncos,Panthers,2023
3095,Packers,49ers,2010
3096,49ers,Saints,2010
3097,Ravens,Lions,2022
3098,Lions,Dolphins,2023
3099,Browns,Packers,2018
3100,Seahawks,Saints,2001
3101,Dolphins,Patriots,2022
3102,Buccaneers,49ers,2003
3103,49ers,Cowboys,2004
3104,Falcons,Buccaneers,2022
3105,Packers,Vikings,2023
3106,Panthers,Bills,2018
3107,Bills,Lions,2021
3108,Lions,Bills,2022
3109,Bills,Falcons,2022
3110,Falcons,Chargers,2023
3111,Giants,Chiefs,2020
3112,Dolphins,Bills,2016
3113,Falcons,Texans,2018
3114,Texans,Cowboys,2019
3115,Jaguars,Vikings,2021
3116,Jets,Dolphins,2001
3117,Patriots,Ravens,2003
3118,Dolphins,Patriots,2003
3119,Ravens,Cowboys,2004
3120,Dolphins,Jets,2012
3121,Panthers,Steelers,2003
3122,Steelers,Browns,2004
3123,Browns,Chiefs,2005
3124,Jaguars,Commanders,2019
3125,Commanders,Buccaneers,2021
3126,Chiefs,49ers,2019
3127,Lions,Bears,2021
3128,Patriots,Seahawks,2006
3129,Patriots,Seahawks,2010
3130,Seahawks,Patriots,2010
3131,Seahawks,Patriots,2011
3132,Falcons,Browns,2022
3133,Browns,Panthers,2023
3134,Cowboys,Commanders,2000
3135,Commanders,Ravens,2004
3136,Bears,Eagles,2018
3137,Titans,Colts,2016
3138,Colts,Broncos,2017
3139,Jaguars,Colts,2012
3140,Colts,Texans,2013
3141,Panthers,Jaguars,2003
3142,Jaguars,49ers,2006
3143,49ers,Panthers,2007
3144,Buccaneers,Cowboys,2014
3145,Cowboys,Jaguars,2014
3146,Jaguars,Patriots,2015
3147,Patriots,Broncos,2016
3148,Broncos,49ers,2017
3149,49ers,Seahawks,2019
3150,Bills,Jets,2021
3151,Jets,Ravens,2022
3152,49ers,Titans,2013
3153,Bills,Colts,2012
3154,Colts,Jaguars,2013
3155,Broncos,Bengals,2004
3156,Bengals,Patriots,2008
3157,Buccaneers,Broncos,2020
3158,49ers,Seahawks,2014
3159,Texans,Lions,2009
3160,Chiefs,Ravens,2022
3161,Ravens,Rams,2023
3162,Jets,Browns,2016
3163,Browns,Jets,2017
3164,Jets,Saints,2018
3165,Broncos,Texans,2018
3166,Texans,Jets,2019
3167,Bills,Eagles,2012
3168,Cowboys,Commanders,2004
3169,Commanders,49ers,2009
3170,Falcons,Broncos,2005
3171,Broncos,Titans,2007
3172,Chiefs,Browns,2019
3173,Browns,Bears,2020
3174,Bears,Cardinals,2021
3175,Jaguars,Raiders,2017
3176,Rams,Commanders,2017
3177,Ravens,Browns,2010
3178,Buccaneers,Chiefs,2019
3179,Chiefs,Texans,2021
3180,Falcons,Chiefs,2008
3181,Chiefs,Chargers,2012
3182,Titans,Broncos,2001
3183,Broncos,Vikings,2003
3184,Vikings,Raiders,2004
3185,Raiders,Bills,2015
3186,Raiders,Colts,2018
3187,Colts,Titans,2021
3188,Panthers,Titans,2022
3189,Cardinals,49ers,2004
3190,Eagles,Titans,2016
3191,Titans,Packers,2021
3192,Packers,Colts,2022
3193,Seahawks,Jaguars,2005
3194,Jaguars,Chargers,2009
3195,Browns,Jaguars,2007
3196,Jaguars,Lions,2009
3197,Chargers,Raiders,2021
3198,Raiders,Texans,2023
3199,Eagles,Texans,2016
3200,Texans,Bills,2018
3201,Bills,Browns,2018
3202,Colts,Raiders,2018
3203,Bears,Chiefs,2022
3204,Colts,Steelers,2019
3205,Panthers,Jaguars,2004
3206,Jaguars,Seahawks,2007
3207,Seahawks,Giants,2010
3208,Chargers,Panthers,2000
3209,Panthers,Chargers,2001
3210,Chargers,Jaguars,2003
3211,Chargers,Colts,2016
3212,Colts,Browns,2017
3213,Bills,Dolphins,2019
3214,Dolphins,Bills,2020
3215,Chiefs,Buccaneers,2021
3216,Cardinals,Buccaneers,2019
3217,Buccaneers,Giants,2019
3218,Giants,Buccaneers,2020
3219,Patriots,Giants,2016
3220,Jets,Eagles,2019
3221,Saints,Bills,2023
3222,Ravens,Bills,2014
3223,Bills,Bears,2015
3224,Bears,Bills,2017
3225,Bills,Cowboys,2018
3226,Browns,Cardinals,2010
3227,Cardinals,Panthers,2011
3228,Panthers,Bills,2018
3229,Raiders,Saints,2023
3230,49ers,Commanders,2015
3231,Commanders,Rams,2017
3232,Rams,Raiders,2018
3233,Raiders,Packers,2003
3234,Jaguars,Chargers,2013
3235,Dolphins,Giants,2008
3236,Giants,Bills,2011
3237,Bills,Raiders,2011
3238,Raiders,Titans,2014
3239,Jaguars,Panthers,2010
3240,Panthers,Eagles,2011
3241,Eagles,Buccaneers,2013
3242,Texans,Saints,2018
3243,Falcons,Seahawks,2006
3244,Patriots,Rams,2020
3245,Rams,Texans,2021
3246,Cowboys,Falcons,2003
3247,Falcons,Vikings,2004
3248,Bills,Rams,2010
3249,Commanders,49ers,2001
3250,Chargers,Dolphins,2008
3251,49ers,Chargers,2008
3252,Chargers,Steelers,2020
3253,Broncos,Ravens,2020
3254,Chargers,Dolphins,2007
3255,Dolphins,Browns,2009
3256,Broncos,Steelers,2021
3257,Chargers,Titans,2022
3258,Steelers,Chargers,2022
3259,Chiefs,Vikings,2002
3260,Chiefs,Jets,2005
3261,Eagles,Raiders,2005
3262,Raiders,Patriots,2009
3263,Patriots,Eagles,2010
3264,Seahawks,Falcons,2017
3265,Falcons,Cardinals,2018
3266,49ers,Buccaneers,2004
3267,Commanders,Bills,2007
3268,Bills,Commanders,2009
3269,Commanders,Cowboys,2011
3270,Commanders,Patriots,2000
3271,Patriots,Panthers,2002
3272,Panthers,Jaguars,2005
3273,Browns,Commanders,2005
3274,Commanders,Packers,2008
3275,Commanders,Browns,2001
3276,Rams,Chargers,2001
3277,Jaguars,Broncos,2011
3278,49ers,Falcons,2006
3279,Falcons,Texans,2006
3280,Chiefs,Raiders,2018
3281,Saints,Giants,2021
3282,Saints,Texans,2006
3283,Ravens,Packers,2009
3284,Packers,Giants,2011
3285,Giants,Patriots,2012
3286,Patriots,Bears,2013
3287,Titans,Ravens,2005
3288,Ravens,Jets,2011
3289,Jets,Texans,2011
3290,Chiefs,Cardinals,2003
3291,Cardinals,Jaguars,2004
3292,Buccaneers,Browns,2010
3293,Dolphins,Saints,2003
3294,Dolphins,Falcons,2016
3295,Jets,Bears,2006
3296,Jets,Panthers,2006
3297,Bears,Jets,2006
3298,Giants,Buccaneers,2009
3299,Buccaneers,Texans,2010
3300,Commanders,Dolphins,2003
3301,Bengals,Browns,2017
3302,Texans,Browns,2022
3303,Steelers,Colts,2010
3304,Packers,Vikings,2013
3305,Vikings,49ers,2014
3306,Raiders,Browns,2013
3307,Broncos,Dolphins,2002
3308,Dolphins,Bears,2003
3309,Lions,Packers,1999
3310,Packers,Lions,2000
3311,Chargers,Titans,2020
3312,Titans,Texans,2021
3313,Falcons,Lions,2020
3314,Raiders,Saints,2021
3315,Lions,Raiders,2021
3316,Broncos,Colts,2002
3317,Cardinals,Titans,2012
3318,Buccaneers,Bears,2019
3319,Bears,Buccaneers,2019
3320,Buccaneers,Bears,2020
3321,Giants,Vikings,2019
3322,Vikings,Giants,2019
3323,Vikings,Giants,2020
3324,Ravens,Chiefs,2008
3325,Browns,Commanders,2020
3326,Panthers,Saints,2003
3327,Colts,Bears,2009
3328,Bears,Vikings,2011
3329,Patriots,Bengals,2022
3330,Steelers,Seahawks,2023
3331,Rams,Browns,2001
3332,Panthers,Colts,2019
3333,Cowboys,Bengals,2023
3334,Bears,Falcons,2014
3335,Ravens,Seahawks,2016
3336,Falcons,Ravens,2016
3337,Bills,Texans,2023
3338,Jets,Cowboys,2019
3339,Cowboys,Jaguars,2021
3340,Cowboys,Colts,2016
3341,Lions,Giants,2017
3342,Giants,Panthers,2010
3343,Commanders,Giants,2010
3344,Panthers,Giants,2011
3345,Jaguars,Saints,2021
3346,Saints,Broncos,2022
3347,Giants,Lions,2018
3348,Lions,Cardinals,2020
3349,Cardinals,Ravens,2022
3350,Bengals,Texans,2016
3351,Chiefs,Titans,2013
3352,Falcons,Giants,2020
3353,Giants,Ravens,2021
3354,Broncos,Raiders,2020
3355,Raiders,Giants,2021
3356,Jets,Broncos,2008
3357,Steelers,Jaguars,2004
3358,Jaguars,Chiefs,2005
3359,Buccaneers,Lions,2007
3360,Colts,Patriots,2015
3361,Patriots,Raiders,2015
3362,Raiders,Seahawks,2016
3363,Cowboys,Rams,2005
3364,Buccaneers,Cardinals,2003
3365,Cardinals,Buccaneers,2004
3366,Buccaneers,Bengals,2006
3367,Rams,Chiefs,2003
3368,Chiefs,Texans,2006
3369,Chiefs,Titans,2014
3370,Titans,Chargers,2016
3371,49ers,Chargers,2017
3372,Chargers,49ers,2017
3373,Eagles,Saints,2017
3374,Jets,Eagles,2017
3375,Saints,Eagles,2018
3376,Patriots,Colts,2005
3377,Eagles,Texans,2006
3378,Texans,Lions,2008
3379,Cowboys,Ravens,2020
3380,Bears,Falcons,2004
3381,Packers,Chiefs,2013
3382,Falcons,Panthers,2017
3383,Buccaneers,Commanders,2012
3384,Giants,Eagles,2004
3385,Eagles,Bengals,2007
3386,Chiefs,Panthers,2023
3387,Commanders,Chiefs,2007
3388,Chiefs,Eagles,2009
3389,Eagles,Browns,2011
3390,Browns,Dolphins,2012
3391,Jets,Seahawks,2015
3392,Dolphins,Seahawks,2017
3393,Seahawks,Raiders,2019
3394,Raiders,49ers,2020
3395,Eagles,Patriots,2015
3396,Patriots,Titans,2018
3397,Titans,Giants,2020
3398,Dolphins,Bears,2017
3399,Saints,Eagles,2003
3400,Eagles,Bears,2007
3401,Bears,Cardinals,2008
3402,Cardinals,Buccaneers,2009
3403,49ers,Broncos,2010
3404,Broncos,Packers,2010
3405,Bengals,Broncos,2017
3406,Broncos,Ravens,2019
3407,Ravens,Cardinals,2020
3408,Broncos,Giants,2007
3409,Giants,Panthers,2013
3410,Colts,Raiders,2007
3411,Raiders,Colts,2008
3412,Texans,Lions,2022
3413,Commanders,Seahawks,2011
3414,Rams,Commanders,2011
3415,Patriots,Rams,2016
3416,Falcons,Ravens,2014
3417,Colts,Chiefs,2013
3418,Chiefs,Colts,2013
3419,Colts,Broncos,2014
3420,Broncos,Dolphins,2016
3421,Cardinals,Eagles,2011
3422,Eagles,Broncos,2013
3423,Broncos,Giants,2014
3424,Giants,Raiders,2018
3425,Raiders,Commanders,2019
3426,Bills,Commanders,2004
3427,Broncos,Falcons,2008
3428,Falcons,Ravens,2009
3429,Packers,Lions,2017
3430,Jaguars,Lions,2011
3431,Buccaneers,Rams,2001
3432,Rams,Patriots,2003
3433,Dolphins,Patriots,2014
3434,Browns,Saints,2015
3435,Patriots,Browns,2015
3436,Saints,Browns,2016
3437,Browns,Texans,2016
3438,Vikings,Cardinals,2002
3439,Colts,Chargers,2014
3440,Chargers,Dolphins,2016
3441,Cowboys,Panthers,2016
3442,Panthers,Patriots,2002
3443,Dolphins,Packers,2005
3444,Packers,Bengals,2011
3445,Buccaneers,Raiders,2014
3446,Raiders,Commanders,2019
3447,Chiefs,Broncos,2016
3448,Colts,Eagles,2005
3449,Eagles,49ers,2006
3450,49ers,Jets,2009
3451,Jets,Chargers,2010
3452,Chargers,Jets,2011
3453,Dolphins,Patriots,2011
3454,Patriots,Colts,2013
3455,Steelers,Colts,2001
3456,Chiefs,Commanders,2001
3457,Buccaneers,Jets,2002
3458,Rams,Titans,2011
3459,Titans,Colts,2012
3460,Colts,Chiefs,2013
3461,Chiefs,Chargers,2002
3462,Chargers,Chiefs,2007
3463,Seahawks,Dolphins,2005
3464,Dolphins,Rams,2007
3465,Rams,Texans,2012
3466,Texans,Eagles,2013
3467,Eagles,Chargers,2018
3468,Broncos,Dolphins,2005
3469,Commanders,Jaguars,2001
3470,Bills,Commanders,2001
3471,Commanders,Lions,2002
3472,Eagles,Commanders,2010
3473,Commanders,Vikings,2011
3474,Buccaneers,Chiefs,2023
3475,Jaguars,Dolphins,2007
3476,Panthers,Saints,2000
3477,49ers,Bills,2018
3478,49ers,Chargers,2019
3479,Bills,49ers,2019
3480,Chargers,49ers,2020
3481,Chiefs,Falcons,2017
3482,Falcons,Panthers,2018
3483,Panthers,Cowboys,2020
3484,Bengals,Cardinals,2013
3485,Cardinals,Titans,2014
3486,Commanders,Lions,2002
3487,Lions,Panthers,2007
3488,Giants,Rams,2019
3489,Colts,Jaguars,2018
3490,Jaguars,Panthers,2019
3491,Panthers,Steelers,2019
3492,Steelers,Patriots,2020
3493,Bills,49ers,2011
3494,49ers,Browns,2014
3495,Browns,Commanders,2016
3496,Saints,Eagles,2006
3497,Eagles,Patriots,2007
3498,Patriots,Browns,2008
3499,Browns,Ravens,2010
3500,Ravens,Commanders,2011
3501,Commanders,Patriots,2012
3502,Browns,Texans,2020
3503,Texans,Titans,2021
3504,Bears,Chargers,2017
3505,Chargers,Bears,2017
3506,Chargers,Colts,2018
3507,Chargers,Colts,2019
3508,Colts,Chargers,2019
3509,Colts,Commanders,2020
3510,Titans,Eagles,2016
3511,Jets,Commanders,2001
3512,Texans,Bills,2012
3513,Bills,Lions,2013
3514,Packers,Eagles,2002
3515,Eagles,Giants,2003
3516,Giants,Eagles,2004
3517,Buccaneers,Colts,2001
3518,Saints,Buccaneers,2001
3519,Colts,Vikings,2002
3520,Vikings,Jets,2003
3521,Jets,Bears,2005
3522,Eagles,Panthers,2003
3523,Titans,Browns,2000
3524,Panthers,Seahawks,2002
3525,Lions,Seahawks,2003
3526,Seahawks,Lions,2003
3527,Bills,Chargers,2001
3528,Chargers,Patriots,2005
3529,Patriots,Raiders,2006
3530,Raiders,Patriots,2006
3531,Lions,Panthers,2012
3532,Falcons,Titans,2004
3533,Raiders,Jets,2005
3534,Jets,Buccaneers,2006
3535,Steelers,Bills,2013
3536,Bills,Chargers,2014
3537,Chargers,Steelers,2015
3538,Buccaneers,Raiders,2018
3539,Jets,Dolphins,2019
3540,Dolphins,Jaguars,2019
3541,Eagles,Browns,2000
3542,Browns,Packers,2001
3543,Commanders,Rams,2015
3544,Vikings,Lions,2007
3545,Cowboys,Jaguars,2013
3546,Colts,Cowboys,2013
3547,Chargers,Jaguars,2008
3548,Jaguars,Bills,2009
3549,Bills,Lions,2012
3550,Lions,Panthers,2013
3551,Bengals,Cardinals,2020
3552,Cardinals,49ers,2021
3553,Rams,Lions,2003
3554,Lions,Broncos,2007
3555,Broncos,49ers,2009
3556,Broncos,Seahawks,2023
3557,Titans,Rams,2007
3558,Patriots,Bills,2002
3559,Bills,Cowboys,2005
3560,Chargers,Saints,2006
3561,Steelers,Cardinals,2014
3562,Jets,Jaguars,2011
3563,Browns,Lions,2022
3564,Colts,Bills,2004
3565,Cowboys,Lions,2008
3566,Broncos,Seahawks,2023
3567,Jaguars,Seahawks,2015
3568,Lions,Cardinals,2014
3569,Chargers,Chiefs,2023
3570,Jaguars,Packers,2012
3571,Packers,49ers,2015
3572,49ers,Seahawks,2015
3573,Seahawks,49ers,2016
3574,Seahawks,Texans,2017
3575,Texans,Seahawks,2017
3576,Texans,Seahawks,2018
3577,Seahawks,Jets,2022
3578,Vikings,Chiefs,2000
3579,Chiefs,Bengals,2003
3580,Cowboys,49ers,2002
3581,49ers,Cowboys,2002
3582,Ravens,Cardinals,2002
3583,Cardinals,Patriots,2005
3584,Patriots,Raiders,2006
3585,Eagles,Steelers,2004
3586,Broncos,Commanders,2014
3587,Browns,Texans,2019
3588,Texans,Dolphins,2021
3589,Dolphins,Bills,2022
3590,Eagles,Falcons,2019
3591,Falcons,Eagles,2019
3592,Falcons,Eagles,2020
3593,Eagles,Dolphins,2021
3594,Bears,Vikings,2022
3595,Vikings,Rams,2023
3596,Bills,Colts,2016
3597,Texans,Falcons,2010
3598,Falcons,Chiefs,2013
3599,Patriots,Lions,2020
3600,Lions,Falcons,2021
3601,Falcons,Raiders,2022
3602,Raiders,Bears,2023
3603,Chiefs,Jaguars,2020
3604,Jaguars,Steelers,2020
3605,Steelers,Browns,2021
3606,Browns,Falcons,2021
3607,Eagles,Bills,2007
3608,Chargers,Commanders,2021
3609,Commanders,Chargers,2021
3610,Commanders,Chargers,2022
3611,Chargers,Browns,2023
3612,Bills,Giants,2000
3613,49ers,Rams,2005
3614,Ravens,Bills,2010
3615,Bills,Panthers,2012
3616,Colts,Patriots,2017
3617,Chiefs,Browns,2015
3618,Jaguars,Rams,2016
3619,Cowboys,Giants,2015
3620,Giants,Raiders,2018
3621,Raiders,Bears,2020
3622,Vikings,Browns,2001
3623,Browns,Buccaneers,2003
3624,Lions,Saints,2018
3625,Saints,Broncos,2023
3626,Colts,Chargers,2013
3627,Chargers,Cardinals,2015
3628,Cardinals,Falcons,2016
3629,Lions,Seahawks,2017
3630,Falcons,Lions,2017
3631,Dolphins,Colts,2000
3632,Eagles,Giants,2002
3633,Jets,Jaguars,2011
3634,Jaguars,Falcons,2014
3635,Falcons,Colts,2015
3636,Colts,Chargers,2016
3637,Buccaneers,Saints,2005
3638,Saints,Vikings,2006
3639,Vikings,Lions,2008
3640,Texans,Titans,2021
3641,Titans,Bears,2023
3642,Colts,Lions,2009
3643,Raiders,Vikings,2020
3644,Browns,Cardinals,2004
3645,Buccaneers,Commanders,2013
3646,Commanders,Eagles,2015
3647,Rams,Bills,2017
3648,Bills,Browns,2018
3649,Bills,Raiders,2017
3650,Steelers,Browns,2002
3651,Browns,Lions,2003
3652,Browns,Saints,1999
3653,Saints,Browns,2000
3654,Browns,Packers,2005
3655,Texans,Dolphins,2014
3656,Dolphins,49ers,2017
3657,Seahawks,Ravens,2019
3658,Cardinals,Browns,2018
3659,Browns,Buccaneers,2019
3660,Jets,Browns,2001
3661,Browns,Patriots,2004
3662,Jaguars,Bears,2013
3663,Cowboys,Browns,2004
3664,Browns,Broncos,2005
3665,Ravens,Panthers,2014
3666,Panthers,Seahawks,2018
3667,Patriots,Commanders,2000
3668,Commanders,Chargers,2001
3669,Ravens,Falcons,2005
3670,Falcons,Raiders,2005
3671,Dolphins,Chiefs,2005
3672,Ravens,Jets,2013
3673,Jets,Texans,2013
3674,Eagles,Browns,2016
3675,Eagles,Lions,1999
3676,Cardinals,Jets,2017
3677,Titans,Bears,2005
3678,Lions,Chiefs,2007
3679,Titans,Cowboys,2004
3680,Panthers,Dolphins,2005
3681,Dolphins,Patriots,2007
3682,Saints,Bears,2000
3683,Broncos,Chiefs,2001
3684,Bears,Broncos,2001
3685,Chiefs,Rams,2008
3686,Packers,Seahawks,2017
3687,Cowboys,Commanders,2000
3688,Texans,Cardinals,2018
3689,Cardinals,Packers,2018
3690,Titans,Bills,2002
3691,Broncos,Chargers,2012
3692,Chargers,Bears,2015
3693,Raiders,Texans,2019
3694,Browns,Seahawks,2011
3695,Bills,Vikings,2020
3696,Bears,Jets,2021
3697,Jets,Panthers,2022
3698,Buccaneers,Texans,2006
3699,Ravens,Chiefs,2012
3700,Chiefs,Cowboys,2013
3701,Colts,Cardinals,2006
3702,Cardinals,Seahawks,2009
3703,Dolphins,Giants,2008
3704,Vikings,Jets,2017
3705,Jets,Falcons,2020
3706,Falcons,Seahawks,2021
3707,Colts,Panthers,2010
3708,49ers,Jaguars,2000
3709,Browns,Saints,2014
3710,Ravens,Lions,2007
3711,Commanders,Bears,2010
3712,Panthers,Bills,2021
3713,Bills,Commanders,2022
3714,Patriots,Dolphins,2020
3715,Dolphins,Steelers,2023
3716,Buccaneers,Saints,2012
3717,Saints,Texans,2013
3718,Eagles,Lions,2011
3719,Jaguars,Browns,2019
3720,Browns,Cowboys,2020
3721,Bills,Titans,2021
3722,Cowboys,Bills,2021
3723,Titans,Bills,2022
3724,Bills,Falcons,2023
3725,Giants,Saints,2018
3726,Saints,Panthers,2020
3727,Panthers,Bengals,2021
3728,Bengals,Dolphins,2023
3729,49ers,Lions,2018
3730,Jets,Dolphins,2021
3731,Browns,Lions,2020
3732,49ers,Browns,2020
3733,Lions,Browns,2021
3734,Browns,Bears,2022
3735,Bears,Chiefs,2022
3736,Jets,Browns,2023
3737,Eagles,Jets,2021
3738,Jets,Steelers,2022
3739,Broncos,Bears,2021
3740,Bears,Falcons,2022
3741,Falcons,Cardinals,2023
3742,Cardinals,Giants,2018
3743,Falcons,Bengals,2021
3744,Bengals,Chiefs,2021
3745,Patriots,Eagles,2009
3746,Colts,Falcons,2002
3747,Falcons,Broncos,2004
3748,Bills,Jets,2011
3749,Buccaneers,Seahawks,2007
3750,Seahawks,Vikings,2008
3751,Bengals,Jaguars,2004
3752,Broncos,Ravens,2013
3753,Ravens,49ers,2017
3754,Chiefs,Ravens,2001
3755,Jets,Ravens,2011
3756,Chargers,Seahawks,2018
3757,Seahawks,Falcons,2021
3758,Bengals,Vikings,2016
3759,Vikings,Jets,2018
3760,Jets,Raiders,2018
3761,Giants,Panthers,2002
3762,Panthers,Cardinals,2003
3763,49ers,Lions,2023
3764,Browns,Chiefs,2019
3765,Chiefs,Dolphins,2020
3766,Steelers,Broncos,2014
3767,49ers,Broncos,2019
3768,Broncos,49ers,2019
3769,Broncos,Saints,2020
3770,Saints,Bills,2021
3771,Cowboys,Lions,2017
3772,Cowboys,Cardinals,2003
3773,Saints,Texans,2022
3774,Cardinals,Saints,2022
3775,Texans,Saints,2023
3776,Falcons,Broncos,2002
3777,Broncos,Jaguars,2004
3778,Jaguars,Texans,2006
3779,Texans,Lions,2009
3780,Lions,Texans,2010
3781,Packers,Bears,2022
3782,Vikings,Commanders,2008
3783,Giants,Jaguars,2018
3784,Jaguars,Commanders,2019
3785,Commanders,Dolphins,2020
3786,Dolphins,Commanders,2021
3787,Browns,Jaguars,2010
3788,Patriots,Browns,2010
3789,Titans,49ers,2012
3790,Chargers,Cardinals,2022
3791,Raiders,Jets,2004
3792,Jets,Browns,2009
3793,Lions,Falcons,2004
3794,Cowboys,Patriots,2000
3795,Broncos,Texans,2002
3796,Panthers,Broncos,2001
3797,Broncos,Lions,2002
3798,Broncos,Jets,2014
3799,Jets,Titans,2017
3800,Chiefs,Chargers,2004
3801,Lions,Colts,2018
3802,Colts,Steelers,2020
3803,Chiefs,Colts,2021
3804,Lions,Vikings,2007
3805,Vikings,Cowboys,2012
3806,Cowboys,Saints,2013
3807,Chiefs,Jets,2007
3808,Raiders,Falcons,2004
3809,Falcons,Cardinals,2005
3810,49ers,Saints,2007
3811,Vikings,Chargers,2023
3812,Bills,Titans,2006
3813,Titans,Lions,2009
3814,Browns,Lions,2010
3815,Lions,Browns,2010
3816,Chiefs,Rams,2015
3817,Rams,Bears,2016
3818,Bears,Browns,2019
3819,Browns,Bears,2020
3820,Patriots,Lions,2018
3821,Browns,Patriots,2015
3822,Panthers,Commanders,2001
3823,Commanders,Packers,2002
3824,Giants,Rams,2006
3825,Rams,Saints,2006
3826,Saints,Rams,2007
3827,Rams,Patriots,2010
3828,Bills,Texans,2006
3829,Texans,Titans,2007
3830,Chiefs,Browns,2019
3831,Browns,Texans,2020
3832,Jets,Bengals,2002
3833,Bengals,Cowboys,2003
3834,Broncos,Saints,2012
3835,Saints,Titans,2014
3836,Colts,Rams,2015
3837,Seahawks,Giants,2016
3838,49ers,Panthers,2018
3839,Eagles,Patriots,2016
3840,Patriots,Dolphins,2019
3841,Falcons,Bears,2019
3842,Bears,Jaguars,2020
3843,Jaguars,Broncos,2021
3844,Giants,Cowboys,2020
3845,Cowboys,Cardinals,2021
3846,Bengals,Browns,2007
3847,Cardinals,Panthers,2000
3848,Giants,Patriots,2019
3849,Jets,Giants,2019
3850,Patriots,Raiders,2019
3851,Raiders,Giants,2020
3852,Giants,Ravens,2020
3853,Ravens,Broncos,2022
3854,Buccaneers,Colts,2002
3855,Chargers,Ravens,2016
3856,Ravens,Rams,2019
3857,Falcons,Bears,2012
3858,Bears,Falcons,2014
3859,Falcons,Titans,2017
3860,Jaguars,Browns,2004
3861,Vikings,Eagles,2021
3862,Eagles,Texans,2021
3863,Texans,Packers,2022
3864,Texans,Chiefs,2012
3865,Chiefs,Cardinals,2013
3866,Cardinals,Bengals,2014
3867,Browns,Lions,2011
3868,Lions,Buccaneers,2012
3869,Buccaneers,49ers,2013
3870,Jets,Falcons,2008
3871,Falcons,Lions,2011
3872,Bills,Texans,2002
3873,Texans,Rams,2003
3874,Saints,Raiders,2017
3875,Raiders,Falcons,2021
3876,Buccaneers,Saints,2014
3877,49ers,Raiders,2019
3878,Broncos,Raiders,2009
3879,Raiders,Bills,2010
3880,Bills,49ers,2015
3881,Chiefs,Dolphins,2008
3882,Dolphins,Packers,2010
3883,Packers,Colts,2013
3884,Colts,Titans,2017
3885,Cowboys,Ravens,2001
3886,Vikings,Jets,2015
3887,Dolphins,Bears,2002
3888,Jaguars,Dolphins,2008
3889,Dolphins,Jaguars,2009
3890,Rams,Saints,2003
3891,Lions,Eagles,2010
3892,Eagles,Colts,2011
3893,Colts,Cowboys,2012
3894,Ravens,Browns,2000
3895,Broncos,Chargers,2021
3896,Chargers,Broncos,2022
3897,Broncos,Chargers,2023
3898,Bills,Commanders,2001
3899,Commanders,Chargers,2010
3900,Cardinals,Ravens,2002
3901,Ravens,Cowboys,2005
3902,Saints,Falcons,2023
3903,Patriots,Browns,2005
3904,Seahawks,Browns,2022
3905,Rams,Saints,2021
3906,Falcons,Seahawks,2005
3907,Falcons,Panthers,2003
3908,Jaguars,Ravens,2013
3909,Falcons,Panthers,2000
3910,Patriots,Texans,2008
3911,Texans,Packers,2019
3912,Packers,Cardinals,2020
3913,Cardinals,Colts,2018
3914,Colts,Dolphins,2019
3915,Dolphins,Giants,2019
3916,Browns,Lions,2020
3917,Giants,Browns,2020
3918,Lions,Seahawks,2023
3919,Packers,Buccaneers,2014
3920,Giants,Jaguars,2022
3921,Panthers,Bengals,2008
3922,Bengals,Dolphins,2008
3923,Dolphins,Bengals,2009
3924,Bengals,Eagles,2011
3925,Eagles,Broncos,2015
3926,Broncos,Cardinals,2016
3927,Browns,Eagles,2012
3928,Eagles,Seahawks,2012
3929,Ravens,Cowboys,2007
3930,Cowboys,Ravens,2008
3931,Ravens,Dolphins,2009
3932,Bears,Bills,2013
3933,Bills,Buccaneers,2014
3934,Steelers,Jaguars,2014
3935,Jaguars,Bears,2015
3936,Bears,Commanders,2016
3937,Commanders,Dolphins,2018
3938,Ravens,Browns,2000
3939,Browns,Vikings,2001
3940,Panthers,Chargers,2011
3941,Chargers,Cowboys,2013
3942,Cowboys,Commanders,2014
3943,Vikings,Cowboys,2020
3944,Cowboys,Lions,2020
3945,Lions,Vikings,2021
3946,Lions,Seahawks,2019
3947,Seahawks,49ers,2020
3948,Cowboys,Patriots,2023
3949,Commanders,Falcons,2021
3950,Falcons,Giants,2022
3951,Giants,Broncos,2023
3952,Raiders,Ravens,2008
3953,Packers,Raiders,2018
