,Year,From,To
3002,2018,Saints,Vikings
3015,2021,Commanders,Ravens
3027,2021,Vikings,Texans
3043,2019,Chiefs,Ravens
3061,2020,Raiders,Chiefs
3074,2012,Raiders,Steelers
3089,2021,Eagles,Raiders
3166,2019,Texans,Jets
3172,2019,Chiefs,Browns
3209,2001,Panthers,Chargers
3210,2003,Chargers,Jaguars
3236,2011,Giants,Bills
3256,2021,Broncos,Steelers
3285,2012,Giants,Patriots
3306,2013,Raiders,Browns
3330,2023,Steelers,Seahawks
3356,2008,Jets,Broncos
3384,2004,Giants,Eagles
3386,2023,Chiefs,Panthers
3407,2020,Ravens,Cardinals
3443,2005,Dolphins,Packers
3522,2003,Eagles,Panthers
3544,2007,Vikings,Lions
3591,2019,Falcons,Eagles
3611,2023,Chargers,Browns
3635,2015,Falcons,Colts
3678,2007,Lions,Chiefs
3707,2010,Colts,Panthers
3715,2023,Dolphins,Steelers
3750,2008,Seahawks,Vikings
3794,2000,Cowboys,Patriots
3826,2007,Saints,Rams
3896,2022,Chargers,Broncos
3963,2013,Titans,Steelers
3972,2013,Browns,Chargers
4012,2003,Bills,Chiefs
4096,2014,Chiefs,Giants
4306,2003,Panthers,Packers
4430,2013,49ers,Eagles
4635,2016,Buccaneers,Packers
4779,2022,Steelers,Cowboys
4853,2000,Bears,Giants
4963,2002,Chargers,Bengals
4999,2007,Vikings,Bills
5289,2004,Saints,Bengals
5337,2003,Vikings,Colts
5373,2000,Packers,Patriots
5522,2007,Steelers,Packers
5543,2013,Cowboys,Chargers
5615,2018,Jets,Rams
5668,2011,Saints,49ers
5848,2023,49ers,Ravens
5953,2022,Steelers,Chiefs
6304,2001,Eagles,Ravens
6559,2008,Chiefs,Steelers
6639,2018,Chargers,Packers
6820,2014,Saints,Steelers
7112,2023,Cowboys,Titans
7354,2020,Texans,Vikings
7706,2002,Broncos,Cowboys
7955,2017,Bengals,Bears
10485,2020,Steelers,Falcons
