,Year,Player,Team,G,College,BirthDate
35,2007,Cleo Lemon,Dolphins,9,Arkansas St.,8/16/1979
36,2007,Chris Liwienski,Dolphins,16,Indiana,8/2/1975
37,2007,David Martin,Dolphins,15,Tennessee,3/13/1979
38,2007,Reagan Maui'a,Dolphins,16,Hawaii,7/6/1984
39,2007,Edmond Miles,Dolphins,16,Iowa,7/6/1984
40,2007,Quentin Moses,Dolphins,7,Georgia,11/18/1983
41,2007,Gene Mruczkowski,Dolphins,15,Purdue,6/6/1980
42,2007,Rob Ninkovich,Dolphins,4,Purdue,2/1/1984
43,2007,Chase Page,Dolphins,6,North Carolina,5/20/1983
44,2007,Justin Peelle,Dolphins,16,Oregon,3/15/1979
45,2007,Jereme Perry,Dolphins,4,East. Michigan,12/15/1981
46,2007,Derrick Pope,Dolphins,16,Alabama,5/4/1982
47,2007,Joey Porter,Dolphins,16,Colorado St.,3/22/1977
48,2007,Kerry Reed,Dolphins,1,Michigan St.,12/24/1984
49,2007,Derreck Robinson,Dolphins,7,Iowa,3/3/1982
50,2007,Matt Roth,Dolphins,13,Iowa,10/14/1982
51,2007,Samson Satele,Dolphins,16,Hawaii,11/29/1984
52,2007,Lance Schulters,Dolphins,7,Hofstra,5/27/1975
53,2007,L.J. Shelton,Dolphins,16,East. Michigan,3/21/1976
54,2007,Kelvin Smith,Dolphins,4,Syracuse,3/20/1984
55,2007,Paul Soliai,Dolphins,8,Utah,12/30/1983
56,2007,Donnie Spragan,Dolphins,16,"Pacific,Stanford",7/12/1976
57,2007,Jason Taylor,Dolphins,16,Akron,9/1/1974
58,2007,Zach Thomas,Dolphins,5,Texas Tech,9/1/1973
59,2007,Lamont Thompson,Dolphins,3,Washington St.,7/30/1978
60,2007,Travares Tillman,Dolphins,3,Georgia Tech,10/8/1977
61,2007,Keith Traylor,Dolphins,15,"Oklahoma,Central Oklahoma",9/3/1969
62,2007,Mark Washington,Dolphins,3,Texas St.,8/20/1985
63,2007,Ricky Williams,Dolphins,1,Texas,5/21/1977
64,2007,Cameron Worrell,Dolphins,12,Fresno St.,12/14/1979
65,2007,Rodrique Wright,Dolphins,13,Texas,7/31/1984
66,2007,Team Total,Dolphins,16,,
0,2007,Victor Abiamiri,Eagles,6,Notre Dame,1/14/1986
1,2007,David Akers,Eagles,16,Louisville,12/9/1974
2,2007,Shawn Andrews,Eagles,15,Arkansas,12/25/1982
3,2007,Jason Avant,Eagles,15,Michigan,4/20/1983
4,2007,Hank Baskett,Eagles,16,New Mexico,9/4/1982
5,2007,Stewart Bradley,Eagles,16,Nebraska,11/2/1983
6,2007,Reggie Brown,Eagles,16,Georgia,1/13/1981
7,2007,Sheldon Brown,Eagles,16,South Carolina,3/19/1979
8,2007,Correll Buckhalter,Eagles,14,Nebraska,10/6/1978
9,2007,Brodrick Bunkley,Eagles,15,Florida St.,11/23/1983
10,2007,Brent Celek,Eagles,16,Cincinnati,1/25/1985
11,2007,Nick Cole,Eagles,16,New Mexico St.,7/28/1984
12,2007,Trent Cole,Eagles,16,Cincinnati,10/5/1982
13,2007,Sean Considine,Eagles,8,Iowa,12/17/1982
14,2007,Kevin Curtis,Eagles,16,"Snow College (UT),Utah St.",7/17/1978
15,2007,Brian Dawkins,Eagles,10,Clemson,10/13/1973
16,2007,Jon Dorenbos,Eagles,16,Texas-El Paso,7/21/1980
17,2007,A.J. Feeley,Eagles,3,Oregon,5/16/1977
18,2007,Omar Gaither,Eagles,16,Tennessee,3/18/1984
19,2007,Michael Gasperson,Eagles,1,San Diego,6/10/1982
20,2007,Chris Gocong,Eagles,16,Cal Poly-San Luis Obispo,11/16/1983
21,2007,Nick Graham,Eagles,15,Tulsa,1/19/1984
22,2007,Joselio Hanson,Eagles,16,Texas Tech,8/13/1981
23,2007,Todd Herremans,Eagles,16,Saginaw Valley St.,10/13/1982
24,2007,Darren Howard,Eagles,16,Kansas St.,11/19/1976
25,2007,Tony Hunt,Eagles,8,Penn St.,11/24/1985
26,2007,Jamaal Jackson,Eagles,16,Delaware St.,5/8/1980
27,2007,Max Jean-Gilles,Eagles,4,Georgia,11/19/1983
28,2007,Akeem Jordan,Eagles,9,James Madison,8/17/1985
29,2007,Winston Justice,Eagles,7,USC,9/14/1984
30,2007,Jevon Kearse,Eagles,14,Florida,9/3/1976
31,2007,Kevin Kolb,Eagles,1,Houston,8/24/1984
32,2007,Greg Lewis,Eagles,15,Illinois,2/12/1980
33,2007,Reno Mahe,Eagles,15,BYU,6/3/1980
34,2007,Matt McCoy,Eagles,7,San Diego St.,10/14/1982
35,2007,Donovan McNabb,Eagles,14,Syracuse,11/25/1976
36,2007,Quintin Mikell,Eagles,14,Boise St.,9/16/1980
37,2007,Juqua Parker,Eagles,16,Oklahoma St.,5/15/1978
38,2007,Marcus Paschal,Eagles,3,Iowa,8/31/1984
39,2007,Mike Patterson,Eagles,16,USC,9/1/1983
40,2007,Will Peterson,Eagles,14,"Michigan,Western Illinois",6/15/1979
41,2007,LaJuan Ramsey,Eagles,9,USC,3/19/1984
42,2007,Montae Reagor,Eagles,7,Texas Tech,6/29/1977
43,2007,J.R. Reed,Eagles,15,South Florida,2/11/1982
44,2007,Saverio Rocca,Eagles,16,None,11/20/1973
45,2007,Jon Runyan,Eagles,16,Michigan,11/27/1973
46,2007,Matt Schobel,Eagles,15,"Texas A&M,TCU",11/4/1978
47,2007,Lito Sheppard,Eagles,11,Florida,4/8/1981
48,2007,L.J. Smith,Eagles,10,Rutgers,5/13/1980
49,2007,Takeo Spikes,Eagles,14,Auburn,12/17/1976
50,2007,Thomas Tapeh,Eagles,16,Minnesota,3/28/1980
51,2007,Tra Thomas,Eagles,15,Florida St.,11/20/1974
52,2007,Pago Togafau,Eagles,7,Idaho St.,1/10/1984
53,2007,Kimo von Oelhoffen,Eagles,8,"Hawaii,Boise St.",1/30/1971
54,2007,Brian Westbrook,Eagles,15,Villanova,9/2/1979
55,2007,Scott Young,Eagles,1,BYU,7/15/1981
56,2007,Team Total,Eagles,16,,
0,2007,John Abraham,Falcons,16,South Carolina,5/6/1978
1,2007,Morten Andersen,Falcons,14,Michigan St.,8/19/1960
2,2007,Courtney Anderson,Falcons,2,San Jose St.,11/19/1980
3,2007,Jamaal Anderson,Falcons,16,Arkansas,2/6/1986
4,2007,Tim Anderson,Falcons,5,Ohio St.,11/22/1980
5,2007,Jonathan Babineaux,Falcons,14,Iowa,10/12/1981
6,2007,D'Anthony Batiste,Falcons,4,Louisiana,3/29/1982
7,2007,Dwayne Blakley,Falcons,12,Missouri,8/10/1979
8,2007,Justin Blalock,Falcons,14,Texas,12/20/1983
9,2007,Michael Boley,Falcons,16,Southern Miss,8/24/1982
10,2007,Keith Brooking,Falcons,16,Georgia Tech,10/30/1975
11,2007,Tyson Clabo,Falcons,11,Wake Forest,10/17/1981
12,2007,Roderick Coleman,Falcons,5,East Carolina,8/16/1976
13,2007,Chris Crocker,Falcons,14,Marshall,3/9/1980
14,2007,Alge Crumpler,Falcons,14,North Carolina,12/23/1977
15,2007,Harvey Dahl,Falcons,1,Nevada,6/24/1981
16,2007,Chauncey Davis,Falcons,16,Florida St.,1/27/1983
17,2007,Warrick Dunn,Falcons,16,Florida St.,1/5/1975
18,2007,Kynan Forney,Falcons,14,Hawaii,9/8/1978
19,2007,Renardo Foster,Falcons,7,Louisville,7/15/1984
20,2007,Wayne Gandy,Falcons,5,Auburn,2/10/1971
21,2007,Brent Grimes,Falcons,2,Shippensburg,7/19/1983
22,2007,DeAngelo Hall,Falcons,16,Virginia Tech,11/19/1983
23,2007,Joey Harrington,Falcons,12,Oregon,10/21/1978
24,2007,Antoine Harris,Falcons,13,Louisville,4/8/1982
25,2007,Joe Horn,Falcons,12,Itawamba (MS),1/16/1972
26,2007,Chris Houston,Falcons,16,Arkansas,10/18/1984
27,2007,Kevin Huntley,Falcons,5,Kansas St.,4/8/1982
28,2007,David Irons,Falcons,15,"Butler (KS),Auburn",10/9/1982
29,2007,Grady Jackson,Falcons,7,Knoxville,1/21/1973
30,2007,Michael Jenkins,Falcons,15,Ohio St.,6/18/1982
31,2007,Adam Jennings,Falcons,16,Fresno St.,11/17/1982
32,2007,Derrick Jones,Falcons,1,Grand Valley St.,11/14/1984
33,2007,Michael Koenen,Falcons,16,Western Washington,7/13/1982
34,2007,Byron Leftwich,Falcons,3,Marshall,1/14/1980
35,2007,Trey Lewis,Falcons,9,Washburn,5/23/1985
36,2007,Jesse Mahelona,Falcons,1,Tennessee,4/7/1983
37,2007,Josh Mallard,Falcons,3,Georgia,3/21/1979
38,2007,Todd McClure,Falcons,16,LSU,2/16/1977
39,2007,Corey McIntyre,Falcons,14,West Virginia,1/25/1979
40,2007,Lawyer Milloy,Falcons,16,Washington,11/14/1973
41,2007,Martrez Milner,Falcons,8,Georgia,8/8/1984
42,2007,Ovie Mughelli,Falcons,16,Wake Forest,6/10/1980
43,2007,Stephen Nicholas,Falcons,13,South Florida,5/1/1983
44,2007,Jerious Norwood,Falcons,15,Mississippi St.,7/29/1983
45,2007,Quinn Ojinnaka,Falcons,11,Syracuse,4/23/1984
46,2007,Terrance Pennington,Falcons,5,New Mexico,9/25/1983
47,2007,Artose Pinner,Falcons,7,Kentucky,1/5/1978
48,2007,Matt Prater,Falcons,2,Central Florida,8/10/1984
49,2007,Chris Redman,Falcons,7,Louisville,7/7/1977
50,2007,Laurent Robinson,Falcons,15,Illinois St.,5/20/1985
51,2007,Lewis Sanders,Falcons,14,Maryland,6/22/1978
52,2007,Mike Schneck,Falcons,12,Wisconsin,8/4/1977
53,2007,Jason Snelling,Falcons,7,Virginia,12/29/1983
54,2007,Montavious Stanley,Falcons,14,Louisville,10/10/1981
55,2007,Daren Stone,Falcons,12,Maine,8/21/1985
56,2007,Boone Stutz,Falcons,4,Texas A&M,11/4/1982
57,2007,Tony Taylor,Falcons,16,Georgia,7/21/1984
58,2007,Eric Weems,Falcons,1,Bethune-Cookman,7/4/1985
59,2007,Todd Weiner,Falcons,8,Kansas St.,9/16/1975
60,2007,Roddy White,Falcons,16,Ala-Birmingham,11/2/1981
61,2007,Ben Wilkerson,Falcons,16,LSU,11/22/1982
62,2007,Marcus Wilkins,Falcons,15,Texas,1/2/1980
63,2007,Demorrio Williams,Falcons,16,Nebraska,7/6/1980
64,2007,Jimmy Williams,Falcons,14,Virginia Tech,3/3/1984
65,2007,Travis Williams,Falcons,6,Auburn,10/14/1983
66,2007,Team Total,Falcons,16,,
0,2007,Jay Alford,Giants,16,Penn St.,5/28/1983
1,2007,Adrian Awasom,Giants,2,North Texas,10/25/1983
2,2007,Chase Blackburn,Giants,16,Akron,6/10/1983
3,2007,Kevin Boothe,Giants,1,Cornell,7/5/1983
4,2007,Kevin Boss,Giants,13,Western Oregon,1/11/1984
5,2007,Ahmad Bradshaw,Giants,12,Marshall,3/19/1986
6,2007,Plaxico Burress,Giants,16,Michigan St.,8/12/1977
7,2007,James Butler,Giants,13,Georgia Tech,9/7/1982
8,2007,Barry Cofield,Giants,16,Northwestern,3/19/1984
9,2007,Craig Dahl,Giants,9,North Dakota St.,6/17/1985
10,2007,Torrance Daniels,Giants,4,Harding,12/27/1981
11,2007,Russell Davis,Giants,11,North Carolina,3/28/1975
12,2007,Zak DeOssie,Giants,16,Brown,5/25/1984
13,2007,David Diehl,Giants,16,Illinois,9/15/1980
14,2007,Kevin Dockery,Giants,13,Mississippi St.,1/8/1984
15,2007,Robert Douglas,Giants,1,Memphis,7/25/1982
16,2007,Reuben Droughns,Giants,16,Oregon,8/21/1978
17,2007,Jeff Feagles,Giants,16,Miami (FL),3/7/1966
18,2007,Madison Hedgecock,Giants,15,North Carolina,8/27/1981
19,2007,Domenik Hixon,Giants,12,Akron,10/8/1984
20,2007,Brandon Jacobs,Giants,11,Southern Illinois,7/6/1982
21,2007,Michael Johnson,Giants,16,Arizona,5/9/1984
22,2007,Mathias Kiwanuka,Giants,10,Boston Col.,3/8/1983
23,2007,Adam Koets,Giants,0,Oregon St.,1/7/1984
24,2007,Jared Lorenzen,Giants,2,Kentucky,2/14/1981
25,2007,Sam Madison,Giants,16,Louisville,4/23/1974
26,2007,Eli Manning,Giants,16,Mississippi,1/3/1981
27,2007,Michael Matthews,Giants,16,Georgia Tech,10/9/1983
28,2007,Kareem McKenzie,Giants,16,Penn St.,5/24/1979
29,2007,R.W. McQuarters,Giants,16,Oklahoma St.,12/21/1976
30,2007,Kawika Mitchell,Giants,16,"Georgia,South Florida",10/10/1979
31,2007,Anthony Mix,Giants,4,Auburn,1/20/1983
32,2007,Sinorice Moss,Giants,13,Miami (FL),12/28/1983
33,2007,Shaun O'Hara,Giants,16,Rutgers,6/23/1977
34,2007,Patrick Pass,Giants,1,Georgia,12/31/1977
35,2007,Antonio Pierce,Giants,16,Arizona,10/26/1978
36,2007,Geoffrey Pope,Giants,0,Howard,6/21/1984
37,2007,Fred Robbins,Giants,16,Wake Forest,3/25/1977
38,2007,Aaron Ross,Giants,15,Texas,9/15/1982
39,2007,Grey Ruegamer,Giants,16,Arizona St.,6/11/1976
40,2007,Rich Seubert,Giants,16,Western Illinois,3/30/1979
41,2007,Jeremy Shockey,Giants,14,Miami (FL),8/18/1980
42,2007,Steve Smith,Giants,5,USC,5/6/1985
43,2007,Chris Snee,Giants,16,Boston Col.,1/18/1982
44,2007,Michael Strahan,Giants,16,Texas Southern,11/21/1971
45,2007,Dave Tollefson,Giants,6,NW Missouri St.,7/10/1982
46,2007,Amani Toomer,Giants,16,Michigan,9/8/1974
47,2007,Reggie Torbor,Giants,16,Auburn,1/25/1981
48,2007,Justin Tuck,Giants,16,Notre Dame,3/29/1983
49,2007,Lawrence Tynes,Giants,16,Troy,5/3/1978
50,2007,David Tyree,Giants,12,Syracuse,1/3/1980
51,2007,Osi Umenyiora,Giants,16,Troy,11/16/1981
52,2007,Derrick Ward,Giants,8,"Fresno St.,Ottawa (KS)",8/30/1980
53,2007,Danny Ware,Giants,1,Georgia,2/18/1985
54,2007,Corey Webster,Giants,14,LSU,3/2/1982
55,2007,Guy Whimper,Giants,16,East Carolina,5/21/1983
56,2007,Gerris Wilkinson,Giants,13,Georgia Tech,4/5/1983
57,2007,Gibril Wilson,Giants,13,Tennessee,11/12/1981
58,2007,Anthony Wright,Giants,3,South Carolina,2/14/1976
59,2007,Manuel Wright,Giants,6,USC,4/13/1984
60,2007,Team Total,Giants,16,,
0,2007,Richard Angulo,Jaguars,5,Western New Mexico,8/13/1980
1,2007,Khalif Barnes,Jaguars,16,Washington,4/21/1982
2,2007,John Broussard,Jaguars,8,San Jose St.,12/18/1983
3,2007,John Carney,Jaguars,8,Notre Dame,4/20/1964
4,2007,Richard Collier,Jaguars,4,Valdosta St.,10/23/1981
5,2007,Marquis Cooper,Jaguars,1,Washington,3/11/1982
6,2007,Jorge Cordova,Jaguars,2,Nevada,9/25/1981
7,2007,Terry Cousin,Jaguars,16,South Carolina,3/11/1975
8,2007,Justin Durant,Jaguars,13,Hampton,9/21/1985
9,2007,Greg Estandia,Jaguars,10,UNLV,11/18/1982
10,2007,Jamaal Fudge,Jaguars,14,Clemson,5/17/1983
11,2007,David Garrard,Jaguars,12,East Carolina,2/14/1978
12,2007,Aaron Glenn,Jaguars,5,Texas A&M,7/16/1972
13,2007,Quinn Gray,Jaguars,8,Florida A&M,5/21/1979
14,2007,Brent Hawkins,Jaguars,14,"Purdue,Illinois St.",9/1/1983
15,2007,Reggie Hayward,Jaguars,12,Iowa St.,3/14/1979
16,2007,John Henderson,Jaguars,15,Tennessee,1/9/1979
17,2007,Clint Ingram,Jaguars,13,Oklahoma,3/21/1983
18,2007,Brian Iwuh,Jaguars,16,Colorado,3/8/1984
19,2007,Grady Jackson,Jaguars,9,Knoxville,1/21/1973
20,2007,Greg Jones,Jaguars,16,Florida St.,5/9/1981
21,2007,Matt Jones,Jaguars,12,Arkansas,4/22/1983
22,2007,Maurice Jones-Drew,Jaguars,15,UCLA,3/23/1985
23,2007,Sammy Knight,Jaguars,16,USC,9/10/1975
24,2007,Derek Landri,Jaguars,13,Notre Dame,9/21/1983
25,2007,Marcedes Lewis,Jaguars,16,UCLA,5/19/1984
26,2007,Vince Manuwai,Jaguars,15,Hawaii,7/12/1980
27,2007,Rashean Mathis,Jaguars,14,Bethune-Cookman,8/27/1980
28,2007,Bobby McCray,Jaguars,14,Florida,11/1/1981
29,2007,Tony McDaniel,Jaguars,4,Tennessee,1/20/1985
30,2007,Brad Meester,Jaguars,11,Northern Iowa,3/23/1977
31,2007,Rob Meier,Jaguars,16,Washington St.,8/29/1977
32,2007,Jeremy Mincey,Jaguars,6,Florida,12/14/1983
33,2007,Chris Naeole,Jaguars,8,Colorado,12/25/1974
34,2007,Reggie Nelson,Jaguars,16,Florida,9/21/1983
35,2007,Chad Nkang,Jaguars,16,Elon,7/1/1985
36,2007,Dennis Norman,Jaguars,15,Princeton,1/26/1980
37,2007,Dennis Northcutt,Jaguars,15,Arizona,12/22/1977
38,2007,Uche Nwaneri,Jaguars,9,Purdue,3/20/1984
39,2007,Shantee Orr,Jaguars,3,Michigan,5/28/1981
40,2007,Chad Owens,Jaguars,1,Hawaii,4/3/1982
41,2007,Montell Owens,Jaguars,16,Maine,5/4/1984
42,2007,Tony Pashos,Jaguars,15,Illinois,8/3/1980
43,2007,Mike Peterson,Jaguars,10,Florida,6/17/1976
44,2007,Kenneth Pettway,Jaguars,10,"Southern Arkansas,Grambling St.",11/13/1982
45,2007,Adam Podlesh,Jaguars,16,Maryland,8/11/1983
46,2007,Tutan Reyes,Jaguars,1,Mississippi,10/28/1977
47,2007,Josh Scobee,Jaguars,8,Louisiana Tech,6/23/1982
48,2007,Gerald Sensabaugh,Jaguars,2,"East Tennessee St.,North Carolina",6/13/1983
49,2007,Daryl Smith,Jaguars,15,Georgia Tech,3/14/1982
50,2007,Isaac Smolko,Jaguars,6,Penn St.,2/28/1983
51,2007,Paul Spicer,Jaguars,15,"DuPage (IL),Saginaw Valley St.",8/18/1975
52,2007,Scott Starks,Jaguars,16,Wisconsin,6/27/1983
53,2007,Marcus Stroud,Jaguars,9,Georgia,6/25/1978
54,2007,Fred Taylor,Jaguars,15,Florida,1/27/1976
55,2007,Pat Thomas,Jaguars,4,North Carolina St.,1/26/1983
56,2007,Lamont Thompson,Jaguars,3,Washington St.,7/30/1978
57,2007,LaBrandon Toefield,Jaguars,2,LSU,9/24/1980
58,2007,Ernest Wilford,Jaguars,16,Virginia Tech,1/14/1979
59,2007,Brian Williams,Jaguars,14,North Carolina St.,7/2/1979
60,2007,Maurice Williams,Jaguars,14,Michigan,1/26/1979
61,2007,Reggie Williams,Jaguars,15,Washington,5/17/1983
62,2007,George Wrighster,Jaguars,11,Oregon,4/1/1981
63,2007,Joe Zelenka,Jaguars,16,Wake Forest,3/9/1976
64,2007,Team Total,Jaguars,16,,
0,2007,Chris Baker,Jets,15,Michigan St.,11/18/1979
1,2007,Darian Barnes,Jets,5,"Rutgers,Hampton",2/28/1980
2,2007,David Barrett,Jets,16,Arkansas,12/22/1977
3,2007,Eric Barton,Jets,16,Maryland,9/29/1977
4,2007,Jacob Bender,Jets,2,Nicholls St.,4/25/1985
5,2007,David Bowens,Jets,16,"Michigan,Western Illinois",7/3/1977
6,2007,Kareem Brown,Jets,1,Miami (FL),1/30/1983
7,2007,Matt Chatham,Jets,9,South Dakota,6/28/1977
8,2007,Adrien Clarke,Jets,14,Ohio St.,3/26/1981
9,2007,Kellen Clemens,Jets,10,Oregon,6/7/1983
10,2007,Anthony Clement,Jets,16,Louisiana,4/10/1976
11,2007,Drew Coleman,Jets,11,TCU,4/22/1983
12,2007,Erik Coleman,Jets,15,Washington St.,5/6/1982
13,2007,Kenyon Coleman,Jets,16,UCLA,4/10/1979
14,2007,Laveranues Coles,Jets,12,Florida St.,12/29/1977
15,2007,Jerricho Cotchery,Jets,15,North Carolina St.,6/16/1982
16,2007,Chris Davis,Jets,2,Wake Forest,12/1/1983
17,2007,James Dearth,Jets,16,"Tulsa,Tarleton St.",1/22/1976
18,2007,Mike DeVito,Jets,7,Maine,6/10/1984
19,2007,Andre Dyson,Jets,9,Utah,5/25/1979
20,2007,Abram Elam,Jets,13,"Notre Dame,Kent St.",10/15/1981
21,2007,Shaun Ellis,Jets,16,Tennessee,6/24/1977
22,2007,D'Brickashaw Ferguson,Jets,16,Virginia,12/10/1983
23,2007,Ben Graham,Jets,15,Deakin (Australia),11/2/1973
24,2007,David Harris,Jets,16,Michigan,1/21/1984
25,2007,Eric Hicks,Jets,11,Maryland,6/17/1976
26,2007,Victor Hobson,Jets,16,Michigan,2/3/1980
27,2007,Adrian Jones,Jets,7,Kansas,6/10/1981
28,2007,Thomas Jones,Jets,16,Virginia,8/19/1978
29,2007,Jeremy Kapinos,Jets,1,Penn St.,8/23/1984
30,2007,Brad Kassell,Jets,16,North Texas,1/7/1980
31,2007,Joe Kowalewski,Jets,13,Syracuse,11/15/1982
32,2007,Nick Mangold,Jets,16,Ohio St.,1/13/1984
33,2007,Justin McCareins,Jets,16,Northern Illinois,12/1/1978
34,2007,Justin Miller,Jets,2,Clemson,2/14/1984
35,2007,Will Montgomery,Jets,7,Virginia Tech,2/13/1983
36,2007,Brandon Moore,Jets,16,Illinois,6/3/1980
37,2007,C.J. Mosley,Jets,14,Missouri,8/6/1983
38,2007,Marques Murrell,Jets,4,Appalachian St.,3/20/1985
39,2007,Mike Nugent,Jets,16,Ohio St.,3/2/1982
40,2007,Clint Oldenburg,Jets,2,Colorado St.,9/9/1983
41,2007,Chad Pennington,Jets,9,Marshall,6/26/1976
42,2007,Jason Pociask,Jets,4,Wisconsin,2/9/1983
43,2007,Hank Poteat,Jets,16,Pittsburgh,8/30/1977
44,2007,Sione Pouha,Jets,16,Utah,2/3/1979
45,2007,Darrelle Revis,Jets,16,Pittsburgh,7/14/1985
46,2007,Kerry Rhodes,Jets,16,Louisville,8/2/1982
47,2007,Dewayne Robertson,Jets,16,Kentucky,10/16/1981
48,2007,Sean Ryan,Jets,10,Boston Col.,3/27/1980
49,2007,Brad Smith,Jets,16,Missouri,12/12/1983
50,2007,Eric Smith,Jets,15,Michigan St.,3/17/1983
51,2007,Wade Smith,Jets,14,Memphis,4/26/1981
52,2007,Cody Spencer,Jets,1,North Texas,7/1/1981
53,2007,Bryan Thomas,Jets,16,Ala-Birmingham,6/7/1979
54,2007,Jason Trusnik,Jets,6,Ohio Northern,6/6/1984
55,2007,Robert Turner,Jets,2,New Mexico,8/20/1984
56,2007,Stacy Tutt,Jets,9,Richmond,8/8/1982
57,2007,Jonathan Vilma,Jets,7,Miami (FL),4/16/1982
58,2007,Leon Washington,Jets,16,Florida St.,8/29/1982
59,2007,Rashad Washington,Jets,9,Kansas St.,3/15/1980
60,2007,Wallace Wright,Jets,16,North Carolina,2/1/1984
61,2007,Team Total,Jets,16,,
0,2007,Ikaika Alama-Francis,Lions,6,Hawaii,12/4/1984
1,2007,Gerald Alexander,Lions,16,Boise St.,6/28/1984
2,2007,Courtney Anderson,Lions,2,San Jose St.,11/19/1980
3,2007,Jeff Backus,Lions,16,Michigan,9/21/1977
4,2007,Boss Bailey,Lions,15,Georgia,10/14/1979
5,2007,Idrees Bashir,Lions,9,Memphis,12/7/1978
6,2007,Tony Beckham,Lions,6,Wisconsin–Stout,10/1/1978
7,2007,Tatum Bell,Lions,5,Oklahoma St.,3/2/1981
8,2007,Greg Blue,Lions,4,Georgia,3/12/1982
9,2007,Jon Bradley,Lions,15,Arkansas St.,1/13/1981
10,2007,Fernando Bryant,Lions,16,Alabama,3/26/1977
11,2007,Brian Calhoun,Lions,4,"Colorado,Wisconsin",5/8/1984
12,2007,Dan Campbell,Lions,2,Texas A&M,4/13/1976
13,2007,Anthony Cannon,Lions,11,Tulane,12/31/1984
14,2007,Aveion Cason,Lions,12,Illinois St.,7/12/1979
15,2007,Shaun Cody,Lions,15,USC,1/22/1983
16,2007,Donte Curry,Lions,2,Morris Brown,7/22/1978
17,2007,Buster Davis,Lions,1,Florida St.,10/20/1983
18,2007,Jared DeVries,Lions,14,Iowa,6/11/1976
19,2007,T.J. Duckett,Lions,12,Michigan St.,2/17/1981
20,2007,Dovonte Edwards,Lions,5,North Carolina St.,10/17/1982
21,2007,Kalimba Edwards,Lions,8,South Carolina,12/26/1979
22,2007,Travis Fisher,Lions,16,Central Florida,9/12/1979
23,2007,Casey Fitzsimmons,Lions,16,Carroll (MT),10/10/1980
24,2007,George Foster,Lions,15,Georgia,6/9/1980
25,2007,Eric Frampton,Lions,5,Washington St.,2/6/1984
26,2007,Mike Furrey,Lions,16,"Ohio St.,Northern Iowa",5/12/1977
27,2007,Jason Hanson,Lions,16,Washington St.,6/17/1970
28,2007,Nick Harris,Lions,16,California,7/23/1978
29,2007,LaMarcus Hicks,Lions,5,Iowa St.,4/15/1983
30,2007,Calvin Johnson,Lions,15,Georgia Tech,9/29/1985
31,2007,Kevin Jones,Lions,13,Virginia Tech,8/21/1982
32,2007,Kenoy Kennedy,Lions,16,Arkansas,11/15/1977
33,2007,Jon Kitna,Lions,16,Central Washington,9/21/1972
34,2007,Teddy Lehman,Lions,16,Oklahoma,11/18/1981
35,2007,Paris Lenon,Lions,16,Richmond,11/26/1977
36,2007,Alex Lewis,Lions,14,Wisconsin,6/11/1981
37,2007,Shaun McDonald,Lions,16,Arizona St.,6/13/1981
38,2007,Sean McHugh,Lions,15,Penn St.,5/27/1982
39,2007,Brandon Middleton,Lions,5,Houston,1/2/1981
40,2007,Langston Moore,Lions,16,South Carolina,7/17/1981
41,2007,Don Muhlbach,Lions,16,Texas A&M,8/17/1981
42,2007,Edwin Mulitalo,Lions,15,Arizona,9/1/1974
43,2007,J.T. O'Sullivan,Lions,4,UC Davis,8/25/1979
44,2007,John Owens,Lions,7,Notre Dame,1/10/1980
45,2007,Stephen Peterman,Lions,13,LSU,1/11/1982
46,2007,Dominic Raiola,Lions,16,Nebraska,12/30/1978
47,2007,Manuel Ramirez,Lions,1,Texas Tech,2/19/1983
48,2007,Cory Redding,Lions,16,Texas,11/15/1980
49,2007,Ramzee Robinson,Lions,6,Alabama,2/20/1984
50,2007,Shaun Rogers,Lions,16,Texas,3/12/1979
51,2007,Blaine Saipaia,Lions,14,Colorado St.,8/25/1978
52,2007,Jonathan Scott,Lions,7,Texas,1/10/1983
53,2007,Ernie Sims,Lions,16,Florida St.,12/23/1984
54,2007,Corey Smith,Lions,16,North Carolina St.,11/2/1979
55,2007,Keith Smith,Lions,15,McNeese St.,3/20/1980
56,2007,Rudy Sylvan,Lions,2,Ohio,12/23/1984
57,2007,Troy Walters,Lions,13,Stanford,12/15/1976
58,2007,Dewayne White,Lions,14,Louisville,10/19/1979
59,2007,Roy Williams,Lions,12,Texas,12/20/1981
60,2007,Stanley Wilson,Lions,10,Stanford,11/5/1982
61,2007,Damien Woody,Lions,13,Boston Col.,11/3/1977
62,2007,Team Total,Lions,16,,
0,2007,Allen Barbre,Packers,7,Missouri Southern,6/22/1984
1,2007,Nick Barnett,Packers,16,Oregon St.,5/27/1981
2,2007,Atari Bigby,Packers,16,Central Florida,9/19/1981
3,2007,Desmond Bishop,Packers,10,California,7/24/1984
4,2007,Will Blackmon,Packers,9,Boston Col.,10/27/1984
5,2007,Shaun Bodiford,Packers,6,Portland St.,5/4/1982
6,2007,Conrad Bolston,Packers,1,Maryland,1/9/1985
7,2007,Jarrett Bush,Packers,14,Utah St.,5/21/1984
8,2007,Chad Clifton,Packers,16,Tennessee,6/26/1976
9,2007,Colin Cole,Packers,7,Iowa,6/24/1980
10,2007,Daryn Colledge,Packers,16,Boise St.,2/11/1982
11,2007,Nick Collins,Packers,13,Bethune-Cookman,8/16/1983
12,2007,Junius Coston,Packers,13,North Carolina A&T,11/5/1983
