,Year,G,Player,BirthDate,College,From,To,Active,Transactions
862,2008,6,Andrew Crummey,10/22/1984,Maryland,College,Bengals,False,1
863,2002,6,Andrew Davison,12/9/1979,Kansas,College,Jets,False,1
864,2003,4,Andrew Davison,12/9/1979,Kansas,Jets,Cowboys,False,1
865,2014,16,Andrew DePaola,7/28/1987,Rutgers,College,Buccaneers,False,1
866,2017,16,Andrew DePaola,7/28/1987,Rutgers,Buccaneers,Bears,False,1
867,2018,1,Andrew DePaola,7/28/1987,Rutgers,Bears,Raiders,False,1
868,2020,7,Andrew DePaola,7/28/1987,Rutgers,Raiders,Vikings,False,1
869,2015,5,Andrew Donnal,3/3/1992,Iowa,College,Rams,False,1
870,2017,6,Andrew Donnal,3/3/1992,Iowa,Rams,Ravens,False,1
871,2018,2,Andrew Donnal,3/3/1992,Iowa,Ravens,Lions,False,1
872,2019,2,Andrew Donnal,3/3/1992,Iowa,Lions,Dolphins,False,1
873,2020,1,Andrew Dowell,11/16/1996,Michigan St.,College,Saints,False,1
874,2018,3,Andrew East,9/17/1991,Vanderbilt,College,Commanders,False,1
875,2006,3,Andrew Economos,6/24/1982,Georgia Tech,College,Buccaneers,False,1
876,2015,16,Andrew Franks,1/11/1993,Rensselaer Polytechnic Institute,College,Dolphins,False,1
877,2011,16,Andrew Gachkar,11/4/1988,Missouri,College,Chargers,False,1
878,2015,16,Andrew Gachkar,11/4/1988,Missouri,Chargers,Cowboys,False,1
879,2017,6,Andrew Gachkar,11/4/1988,Missouri,Cowboys,Panthers,False,1
880,2009,1,Andrew Gardner,4/4/1986,Georgia Tech,College,Dolphins,False,1
881,2011,1,Andrew Gardner,4/4/1986,Georgia Tech,Dolphins,Texans,False,1
882,2014,16,Andrew Gardner,4/4/1986,Georgia Tech,Texans,Eagles,False,1
883,2016,1,Andrew Gardner,4/4/1986,Georgia Tech,Eagles,49ers,False,1
884,1999,16,Andrew Glover,8/12/1967,Grambling St.,College,Vikings,False,1
885,2000,16,Andrew Glover,8/12/1967,Grambling St.,Vikings,Saints,False,1
886,2011,13,Andrew Hawkins,3/10/1986,Toledo,College,Bengals,False,1
887,2014,15,Andrew Hawkins,3/10/1986,Toledo,Bengals,Browns,False,1
888,2014,13,Andrew Jackson,3/16/1992,Western Kentucky,College,Colts,False,1
889,1999,11,Andrew Jordan,6/21/1972,Western Carolina,College,Vikings,False,1
890,2012,16,Andrew Luck,9/12/1989,Stanford,College,Colts,False,1
891,2014,2,Andrew McDonald,9/8/1988,Indiana,College,Seahawks,False,1
892,2014,10,Andrew Norwell,10/25/1991,Ohio St.,College,Panthers,False,1
893,2018,11,Andrew Norwell,10/25/1991,Ohio St.,Panthers,Jaguars,False,1
894,2022,16,Andrew Norwell,10/25/1991,Ohio St.,Jaguars,Commanders,False,1
895,2023,5,Andrew Ogletree,7/28/1998,"Findlay,Youngstown St.",College,Colts,True,1
896,2003,16,Andrew Pinnock,3/12/1980,South Carolina,College,Chargers,False,1
897,2010,13,Andrew Quarless,10/6/1988,Penn St.,College,Packers,False,1
898,2010,2,Andrew Sendejo,9/9/1987,Rice,College,Cowboys,False,1
899,2011,3,Andrew Sendejo,9/9/1987,Rice,Cowboys,Vikings,False,1
900,2019,6,Andrew Sendejo,9/9/1987,Rice,Eagles,Vikings,False,1
901,2019,9,Andrew Sendejo,9/9/1987,Rice,Vikings,Eagles,False,1
902,2020,14,Andrew Sendejo,9/9/1987,Rice,Vikings,Browns,False,1
903,2021,12,Andrew Sendejo,9/9/1987,Rice,Browns,Colts,False,1
904,2020,16,Andrew Thomas,1/22/1999,Georgia,College,Giants,False,1
905,2014,1,Andrew Tiller,5/9/1989,Syracuse,College,49ers,False,1
906,2023,0,Andrew Trainer,12/18/1997,William & Mary,College,Chargers,True,1
907,2015,3,Andrew Turzilli,10/13/1991,Rutgers,College,Titans,False,1
908,2019,6,Andrew Van Ginkel,7/1/1995,Wisconsin,College,Dolphins,False,1
909,2023,0,Andrew Vorhees (NON),1/21/1999,USC,College,Ravens,True,1
910,2006,12,Andrew Walter,5/11/1982,Arizona St.,College,Raiders,False,1
911,2006,16,Andrew Whitworth,12/12/1981,LSU,College,Bengals,False,1
912,2017,15,Andrew Whitworth,12/12/1981,LSU,Bengals,Rams,False,1
913,2003,2,Andrew Williams,4/18/1979,Miami (FL),College,49ers,False,1
914,2019,16,Andrew Wingard,12/5/1996,Wyoming,College,Jaguars,False,1
915,2018,16,Andrew Wylie,8/19/1994,East. Michigan,College,Chiefs,True,1
916,2023,6,Andrew Wylie,8/19/1994,East. Michigan,Chiefs,Commanders,True,1
917,2015,12,Andrus Peat,11/4/1993,Stanford,College,Saints,False,1
918,2008,15,Andy Alleman,11/20/1983,Akron,College,Dolphins,False,1
919,2009,9,Andy Alleman,11/20/1983,Akron,Dolphins,Chiefs,False,1
920,2001,1,Andy Bowers,2/22/1976,Utah,College,Cardinals,False,1
921,2011,16,Andy Dalton,10/29/1987,TCU,College,Bengals,True,1
922,2020,11,Andy Dalton,10/29/1987,TCU,Bengals,Cowboys,True,1
923,2021,8,Andy Dalton,10/29/1987,TCU,Cowboys,Bears,True,1
924,2022,14,Andy Dalton,10/29/1987,TCU,Bears,Saints,True,1
925,2023,3,Andy Dalton,10/29/1987,TCU,Saints,Panthers,True,1
926,2015,12,Andy Gallik,9/24/1991,Boston Col.,College,Titans,False,1
927,2005,2,Andy Groom,9/10/1979,Ohio St.,College,Commanders,False,1
928,1999,16,Andy Heck,1/1/1967,Notre Dame,College,Commanders,False,1
929,2019,15,Andy Isabella,11/18/1996,Massachusetts,College,Cardinals,False,1
930,2022,2,Andy Isabella,11/18/1996,Massachusetts,Cardinals,Ravens,False,1
931,2016,11,Andy Janovich,5/23/1993,Nebraska,College,Broncos,False,1
932,2020,14,Andy Janovich,5/23/1993,Nebraska,Broncos,Browns,False,1
933,2017,1,Andy Jones,6/28/1994,Jacksonville,Lions,Texans,False,1
934,2017,2,Andy Jones,6/28/1994,Jacksonville,College,Lions,False,1
935,2018,8,Andy Jones,6/28/1994,Jacksonville,Texans,Lions,False,1
936,1999,16,Andy Katzenmoyer,12/2/1977,Ohio St.,College,Patriots,False,1
937,2002,5,Andy King,11/9/1978,Illinois St.,College,Rams,False,1
938,2004,16,Andy Lee,8/11/1982,Pittsburgh,College,49ers,False,1
939,2015,16,Andy Lee,8/11/1982,Pittsburgh,49ers,Browns,False,1
940,2016,9,Andy Lee,8/11/1982,Pittsburgh,Browns,Panthers,False,1
941,2017,16,Andy Lee,8/11/1982,Pittsburgh,Panthers,Cardinals,False,1
942,2009,16,Andy Levitre,5/15/1986,Oregon St.,College,Bills,False,1
943,2013,16,Andy Levitre,5/15/1986,Oregon St.,Bills,Titans,False,1
944,2015,16,Andy Levitre,5/15/1986,Oregon St.,Titans,Falcons,False,1
945,1999,16,Andy McCollum,6/2/1970,Toledo,College,Rams,False,1
946,2008,12,Andy McCollum,6/2/1970,Toledo,Rams,Lions,False,1
947,1999,2,Andy McCullough,11/11/1975,Tennessee,College,Cardinals,False,1
948,2013,14,Andy Mulumba,1/31/1990,East. Michigan,College,Packers,False,1
949,2008,6,Andy Studebaker,9/16/1985,Wheaton,College,Chiefs,False,1
950,2013,11,Andy Studebaker,9/16/1985,Wheaton,Chiefs,Colts,False,1
951,2006,1,Andy Thorn,2/4/1982,"Iowa,Northern Iowa",College,Cowboys,False,1
952,2020,14,Anfernee Jennings,5/1/1997,Alabama,College,Patriots,False,1
953,1999,2,Angel Rubio,4/12/1975,SE Missouri St.,College,Cardinals,False,1
954,2015,16,Angelo Blackson,11/14/1992,Auburn,College,Titans,True,1
955,2017,9,Angelo Blackson,11/14/1992,Auburn,Titans,Texans,True,1
956,2020,16,Angelo Blackson,11/14/1992,Auburn,Texans,Cardinals,True,1
957,2021,17,Angelo Blackson,11/14/1992,Auburn,Cardinals,Bears,True,1
958,2023,7,Angelo Blackson,11/14/1992,Auburn,Bears,Jaguars,True,1
959,2003,6,Angelo Crowell,8/16/1981,Virginia,College,Bills,False,1
960,2003,16,Anquan Boldin,10/3/1980,Florida St.,College,Cardinals,False,1
961,2010,16,Anquan Boldin,10/3/1980,Florida St.,Cardinals,Ravens,False,1
962,2013,16,Anquan Boldin,10/3/1980,Florida St.,Ravens,49ers,False,1
963,2016,16,Anquan Boldin,10/3/1980,Florida St.,49ers,Lions,False,1
964,2003,14,Anthony Adams,6/18/1980,Penn St.,College,49ers,False,1
965,2007,11,Anthony Adams,6/18/1980,Penn St.,49ers,Bears,False,1
966,2006,6,Anthony Alabi,2/16/1981,TCU,College,Dolphins,False,1
967,2011,5,Anthony Allen,8/6/1988,"Louisville,Georgia Tech",College,Ravens,False,1
968,2010,15,Anthony Armstrong,3/29/1983,West Texas A&M,College,Commanders,False,1
969,2012,1,Anthony Armstrong,3/29/1983,West Texas A&M,Commanders,Cowboys,False,1
970,2012,5,Anthony Armstrong,3/29/1983,West Texas A&M,Cowboys,Dolphins,False,1
971,2018,11,Anthony Averett,11/30/1994,Alabama,College,Ravens,False,1
972,2022,7,Anthony Averett,11/30/1994,Alabama,Ravens,Raiders,False,1
973,2014,12,Anthony Barr,3/18/1992,UCLA,College,Vikings,False,1
974,2022,14,Anthony Barr,3/18/1992,UCLA,Vikings,Cowboys,False,1
975,1999,14,Anthony Bass,3/27/1975,Bethune-Cookman,College,Vikings,False,1
976,2000,14,Anthony Becht,8/8/1977,West Virginia,College,Jets,False,1
977,2005,16,Anthony Becht,8/8/1977,West Virginia,Jets,Buccaneers,False,1
978,2008,16,Anthony Becht,8/8/1977,West Virginia,Buccaneers,Rams,False,1
979,2009,16,Anthony Becht,8/8/1977,West Virginia,Rams,Cardinals,False,1
980,2011,9,Anthony Becht,8/8/1977,West Virginia,Cardinals,Chiefs,False,1
981,2023,4,Anthony Bradford,4/28/2001,LSU,College,Seahawks,True,1
982,2002,1,Anthony Bright,3/28/1977,Valencia CC (FL),College,Panthers,False,1
983,1999,16,Anthony Brown,11/6/1972,Utah,College,Steelers,False,1
984,2016,16,Anthony Brown,12/15/1993,Purdue,College,Cowboys,True,1
985,2022,2,Anthony Brown,7/27/1998,"Boston Col.,Oregon",College,Ravens,False,1
986,2023,1,Anthony Brown,12/15/1993,Purdue,Cowboys,49ers,True,1
987,2005,4,Anthony Bryant,11/6/1981,Alabama,College,Buccaneers,False,1
988,2006,4,Anthony Bryant,11/6/1981,Alabama,Buccaneers,Lions,False,1
989,2007,1,Anthony Bryant,11/6/1981,Alabama,Lions,Dolphins,False,1
990,2010,6,Anthony Bryant,11/6/1981,Alabama,Dolphins,Commanders,False,1
991,2006,12,Anthony Cannon,12/31/1984,Tulane,College,Lions,False,1
992,2011,12,Anthony Castonzo,8/9/1988,Boston Col.,College,Colts,False,1
993,2020,3,Anthony Chesley,5/31/1996,Coastal Carolina,College,Texans,False,1
994,2021,9,Anthony Chesley,5/31/1996,Coastal Carolina,Texans,Colts,False,1
995,2022,7,Anthony Chesley,5/31/1996,Coastal Carolina,Colts,Buccaneers,False,1
996,2015,7,Anthony Chickillo,12/10/1992,Miami (FL),College,Steelers,False,1
997,2020,11,Anthony Chickillo,12/10/1992,Miami (FL),Steelers,Broncos,False,1
998,1999,16,Anthony Clement,4/10/1976,Louisiana,College,Cardinals,False,1
999,2005,14,Anthony Clement,4/10/1976,Louisiana,Cardinals,49ers,False,1
1000,2006,16,Anthony Clement,4/10/1976,Louisiana,49ers,Jets,False,1
1001,2008,9,Anthony Collins,11/2/1985,Kansas,College,Bengals,False,1
1002,2014,10,Anthony Collins,11/2/1985,Kansas,Bengals,Buccaneers,False,1
1003,1999,16,Anthony Cook,5/30/1972,South Carolina St.,College,Commanders,False,1
1004,1999,14,Anthony Davis,3/7/1969,Utah,College,Packers,False,1
1005,2000,14,Anthony Davis,3/7/1969,Utah,Packers,Ravens,False,1
1006,2004,2,Anthony Davis,3/27/1980,Virginia Tech,College,Buccaneers,False,1
1007,2010,16,Anthony Davis,10/11/1989,Rutgers,College,49ers,False,1
1008,2014,4,Anthony Denham,7/21/1991,Utah,College,Texans,False,1
1009,2001,11,Anthony Denman,10/30/1979,Notre Dame,College,Browns,False,1
1010,2002,16,Anthony Denman,10/30/1979,Notre Dame,Browns,Bills,False,1
1011,2010,16,Anthony Dixon,9/24/1987,Mississippi St.,College,49ers,False,1
1012,2014,16,Anthony Dixon,9/24/1987,Mississippi St.,49ers,Bills,False,1
1013,1999,16,Anthony Dorsett,9/14/1973,Pittsburgh,College,Titans,False,1
1014,2000,16,Anthony Dorsett,9/14/1973,Pittsburgh,Titans,Raiders,False,1
1015,2003,2,Anthony Dunn,7/1/1980,Northern Colorado,College,Titans,False,1
1016,2016,4,Anthony Fabiano,7/13/1993,Harvard,College,Browns,False,1
1017,2017,5,Anthony Fabiano,7/13/1993,Harvard,Browns,Colts,False,1
1018,2020,0,Anthony Fabiano,7/13/1993,Harvard,Colts,Browns,False,1
1019,2006,16,Anthony Fasano,4/20/1984,Notre Dame,College,Cowboys,False,1
1020,2008,16,Anthony Fasano,4/20/1984,Notre Dame,Cowboys,Dolphins,False,1
1021,2013,9,Anthony Fasano,4/20/1984,Notre Dame,Dolphins,Chiefs,False,1
1022,2015,16,Anthony Fasano,4/20/1984,Notre Dame,Chiefs,Titans,False,1
1023,2017,16,Anthony Fasano,4/20/1984,Notre Dame,Titans,Dolphins,False,1
1024,2018,12,Anthony Firkser,2/19/1995,Harvard,College,Titans,False,1
1025,2022,11,Anthony Firkser,2/19/1995,Harvard,Titans,Falcons,False,1
1026,2003,6,Anthony Floyd,2/1/1981,Louisville,College,Colts,False,1
1027,2011,8,Anthony Gaitor,10/9/1988,Florida International,College,Buccaneers,False,1
1028,2007,13,Anthony Gonzalez,9/18/1984,Ohio St.,College,Colts,False,1
1029,2004,15,Anthony Hargrove,7/20/1983,Georgia Tech,College,Rams,False,1
1030,2006,4,Anthony Hargrove,7/20/1983,Georgia Tech,Bills,Rams,False,1
1031,2006,10,Anthony Hargrove,7/20/1983,Georgia Tech,Rams,Bills,False,1
1032,2007,12,Anthony Hargrove,7/20/1983,Georgia Tech,Rams,Bills,False,1
1033,2009,16,Anthony Hargrove,7/20/1983,Georgia Tech,Bills,Saints,False,1
1034,2011,15,Anthony Hargrove,7/20/1983,Georgia Tech,Saints,Seahawks,False,1
1035,1999,4,Anthony Harris,1/25/1973,Auburn,College,Dolphins,False,1
1036,2015,4,Anthony Harris,10/9/1991,Virginia,College,Vikings,False,1
1037,2021,14,Anthony Harris,10/9/1991,Virginia,Vikings,Eagles,False,1
1038,2022,3,Anthony Harris,10/9/1991,Virginia,Eagles,Broncos,False,1
1039,2001,16,Anthony Henry,11/3/1976,South Florida,College,Browns,False,1
1040,2005,12,Anthony Henry,11/3/1976,South Florida,Browns,Cowboys,False,1
1041,2009,14,Anthony Henry,11/3/1976,South Florida,Cowboys,Lions,False,1
1042,2005,10,Anthony Herrera,6/14/1980,Tennessee,College,Vikings,False,1
1043,2001,1,Anthony Herron,9/24/1979,Iowa,College,Lions,False,1
1044,2009,5,Anthony Hill,1/2/1985,North Carolina St.,College,Texans,False,1
1045,2011,7,Anthony Hill,1/2/1985,North Carolina St.,Texans,Colts,False,1
1046,2014,16,Anthony Hitchens,6/10/1992,Iowa,College,Cowboys,False,1
1047,2018,15,Anthony Hitchens,6/10/1992,Iowa,Cowboys,Chiefs,False,1
1048,1999,16,Anthony Johnson,10/25/1967,Notre Dame,College,Panthers,False,1
1049,2000,12,Anthony Johnson,10/25/1967,Notre Dame,Panthers,Jaguars,False,1
1050,2014,7,Anthony Johnson,1/24/1993,LSU,College,Dolphins,False,1
1051,2016,4,Anthony Johnson,1/24/1993,LSU,Jets,Patriots,False,1
1052,2016,7,Anthony Johnson,1/24/1993,LSU,Dolphins,Jets,False,1
1053,2017,4,Anthony Johnson,1/24/1993,LSU,Patriots,Colts,False,1
1054,2023,0,Anthony Johnson,12/2/1999,Iowa St.,College,Packers,True,1
1055,2023,6,Anthony Kendall,12/17/1999,Baldwin Wallace,College,Titans,True,1
1056,2016,4,Anthony Lanier,5/8/1993,Alabama A&M,College,Commanders,False,1
1057,2012,2,Anthony Levine,3/27/1987,Tennessee St.,College,Ravens,False,1
1058,1999,16,Anthony Lynn,12/21/1968,Texas Tech,College,Broncos,False,1
1059,2004,2,Anthony Maddox,11/22/1978,Delta St.,College,Jaguars,False,1
1060,2006,12,Anthony Maddox,11/22/1978,Delta St.,Jaguars,Texans,False,1
1061,2006,13,Anthony Madison,10/8/1981,Alabama,College,Steelers,False,1
1062,2009,3,Anthony Madison,10/8/1981,Alabama,Browns,Colts,False,1
1063,2009,4,Anthony Madison,10/8/1981,Alabama,Steelers,Browns,False,1
1064,2009,5,Anthony Madison,10/8/1981,Alabama,Colts,Steelers,False,1
1065,2011,5,Anthony Madison,10/8/1981,Alabama,Steelers,Lions,False,1
1066,2000,9,Anthony Malbrough,12/9/1976,Texas Tech,College,Browns,False,1
1067,2010,2,Anthony McCoy,12/12/1987,USC,College,Seahawks,False,1
1068,2015,1,Anthony McCoy,12/12/1987,USC,Commanders,Seahawks,False,1
1069,2015,6,Anthony McCoy,12/12/1987,USC,Seahawks,Commanders,False,1
1070,1999,14,Anthony McFarland,12/18/1977,LSU,College,Buccaneers,False,1
1071,2006,11,Anthony McFarland,12/18/1977,LSU,Buccaneers,Colts,False,1
1072,2020,11,Anthony McFarland Jr.,3/4/1999,Maryland,College,Steelers,False,1
1073,2018,15,Anthony Miller,10/9/1994,Memphis,College,Bears,False,1
1074,2021,1,Anthony Miller,10/9/1994,Memphis,Bears,Steelers,False,1
1075,2021,2,Anthony Miller,10/9/1994,Memphis,Steelers,Texans,False,1
1076,2000,16,Anthony Mitchell,12/13/1974,Tuskegee,College,Ravens,False,1
1077,2003,16,Anthony Mitchell,12/13/1974,Tuskegee,Ravens,Jaguars,False,1
1078,2004,12,Anthony Mitchell,12/13/1974,Tuskegee,Jaguars,Bengals,False,1
1079,2007,4,Anthony Mix,1/20/1983,Auburn,Commanders,Giants,False,1
1080,2007,5,Anthony Mix,1/20/1983,Auburn,College,Commanders,False,1
1081,2006,5,Anthony Montgomery,3/8/1984,Minnesota,College,Commanders,False,1
1082,2019,9,Anthony Nelson,3/4/1997,Iowa,College,Buccaneers,False,1
1083,1999,16,Anthony Newman,11/25/1965,Oregon,College,Raiders,False,1
1084,2007,3,Anthony Oakley,8/16/1981,Western Kentucky,College,Bears,False,1
1085,2000,16,Anthony Parker,12/4/1975,"Colorado Mesa,Weber St.",College,49ers,False,1
1086,2019,1,Anthony Pittman,11/24/1996,Wayne State (MI),College,Lions,False,1
1087,1999,16,Anthony Pleasant,1/27/1968,Tennessee St.,College,Jets,False,1
1088,2000,16,Anthony Pleasant,1/27/1968,Tennessee St.,Jets,49ers,False,1
1089,2001,16,Anthony Pleasant,1/27/1968,Tennessee St.,49ers,Patriots,False,1
1090,2000,10,Anthony Poindexter,7/28/1976,Virginia,College,Ravens,False,1
1091,1999,15,Anthony Redmon,4/9/1971,Auburn,College,Panthers,False,1
1092,2000,4,Anthony Redmon,4/9/1971,Auburn,Panthers,Falcons,False,1
1093,2023,4,Anthony Richardson,5/22/2002,Florida,College,Colts,True,1
1094,2019,9,Anthony Rush,9/1/1996,Ala-Birmingham,College,Eagles,False,1
1095,2020,1,Anthony Rush,9/1/1996,Ala-Birmingham,Eagles,Packers,False,1
1096,2020,4,Anthony Rush,9/1/1996,Ala-Birmingham,Packers,Seahawks,False,1
1097,2021,2,Anthony Rush,9/1/1996,Ala-Birmingham,Falcons,Titans,False,1
1098,2021,10,Anthony Rush,9/1/1996,Ala-Birmingham,Seahawks,Falcons,False,1
1099,2022,4,Anthony Rush,9/1/1996,Ala-Birmingham,Titans,Falcons,False,1
1100,2006,4,Anthony Schlegel,3/1/1981,"Air Force,Ohio St.",College,Jets,False,1
1101,2007,13,Anthony Schlegel,3/1/1981,"Air Force,Ohio St.",Jets,Bengals,False,1
1102,2021,14,Anthony Schwartz,9/5/2000,Auburn,College,Browns,False,1
1103,2011,15,Anthony Sherman,12/11/1988,Connecticut,College,Cardinals,False,1
1104,2013,16,Anthony Sherman,12/11/1988,Connecticut,Cardinals,Chiefs,False,1
1105,1999,16,Anthony Simmons,6/20/1976,Clemson,College,Seahawks,False,1
1106,2006,16,Anthony Smith,9/20/1983,Syracuse,College,Steelers,False,1
1107,2009,2,Anthony Smith,9/20/1983,Syracuse,Jaguars,Rams,False,1
1108,2009,8,Anthony Smith,9/20/1983,Syracuse,Steelers,Jaguars,False,1
1109,2010,3,Anthony Smith,9/20/1983,Syracuse,Rams,Jaguars,False,1
1110,2010,4,Anthony Smith,9/20/1983,Syracuse,Jaguars,Packers,False,1
1111,2011,13,Anthony Smith,9/20/1983,Syracuse,Packers,Titans,False,1
1112,2007,16,Anthony Spencer,1/23/1984,Purdue,College,Cowboys,False,1
1113,2016,15,Anthony Steen,5/9/1990,Alabama,College,Dolphins,False,1
1114,2001,14,Anthony Thomas,11/7/1977,Michigan,College,Bears,False,1
1115,2005,4,Anthony Thomas,11/7/1977,Michigan,Cowboys,Saints,False,1
1116,2005,5,Anthony Thomas,11/7/1977,Michigan,Bears,Cowboys,False,1
1117,2006,16,Anthony Thomas,11/7/1977,Michigan,Saints,Bills,False,1
1118,2009,1,Anthony Toribio,3/1/1985,Carson-Newman,College,Packers,False,1
1119,2010,5,Anthony Toribio,3/1/1985,Carson-Newman,Packers,Chiefs,False,1
1120,2017,10,Anthony Walker,8/8/1995,Northwestern,College,Colts,False,1
1121,2021,13,Anthony Walker,8/8/1995,Northwestern,Colts,Browns,False,1
1122,2011,4,Anthony Walters,9/19/1988,Delaware,College,Bears,False,1
1123,2008,7,Anthony Waters,7/25/1984,Clemson,College,Chargers,False,1
1124,2009,3,Anthony Waters,7/25/1984,Clemson,Chargers,Saints,False,1
1125,2002,16,Anthony Weaver,8/28/1980,Notre Dame,College,Ravens,False,1
1126,2006,15,Anthony Weaver,8/28/1980,Notre Dame,Ravens,Texans,False,1
1127,2018,2,Anthony Wint,9/14/1995,Florida International,College,Jets,False,1
1128,2000,4,Anthony Wright,2/14/1976,South Carolina,College,Cowboys,False,1
1129,2003,7,Anthony Wright,2/14/1976,South Carolina,Cowboys,Ravens,False,1
1130,2006,4,Anthony Wright,2/14/1976,South Carolina,Ravens,Bengals,False,1
1131,2007,3,Anthony Wright,2/14/1976,South Carolina,Bengals,Giants,False,1
1132,2016,13,Anthony Zettel,8/9/1992,Penn St.,College,Lions,False,1
1133,2018,15,Anthony Zettel,8/9/1992,Penn St.,Lions,Browns,False,1
1134,2019,1,Anthony Zettel,8/9/1992,Penn St.,Browns,49ers,False,1
1135,2019,4,Anthony Zettel,8/9/1992,Penn St.,49ers,Bengals,False,1
1136,2020,1,Anthony Zettel,8/9/1992,Penn St.,Bengals,Saints,False,1
1137,1999,2,Antico Dalton,12/31/1975,Hampton,College,Vikings,False,1
1138,2000,3,Antico Dalton,12/31/1975,Hampton,Vikings,Patriots,False,1
1139,2006,14,Antoine Bethea,7/27/1984,Howard,College,Colts,False,1
1140,2014,16,Antoine Bethea,7/27/1984,Howard,Colts,49ers,False,1
1141,2017,15,Antoine Bethea,7/27/1984,Howard,49ers,Cardinals,False,1
1142,2019,16,Antoine Bethea,7/27/1984,Howard,Cardinals,Giants,False,1
1143,2020,4,Antoine Brooks Jr.,10/28/1998,Maryland,College,Steelers,False,1
1144,2021,8,Antoine Brooks Jr.,10/28/1998,Maryland,Steelers,Rams,False,1
1145,2009,11,Antoine Caldwell,4/19/1986,Alabama,College,Texans,False,1
1146,2005,3,Antoine Cash,3/5/1982,Southern Miss,College,Falcons,False,1
1147,2006,16,Antoine Cash,3/5/1982,Southern Miss,Falcons,Buccaneers,False,1
1148,2008,16,Antoine Cason,7/9/1986,Arizona,College,Chargers,False,1
1149,2013,16,Antoine Cason,7/9/1986,Arizona,Chargers,Cardinals,False,1
1150,2014,2,Antoine Cason,7/9/1986,Arizona,Panthers,Ravens,False,1
1151,2014,12,Antoine Cason,7/9/1986,Arizona,Cardinals,Panthers,False,1
1152,2023,5,Antoine Green,11/15/1999,North Carolina,College,Lions,True,1
1153,2007,13,Antoine Harris,4/8/1982,Louisville,College,Falcons,False,1
1154,1999,4,Antoine Simpson,12/7/1976,Houston,College,Dolphins,False,1
1155,2000,7,Antoine Simpson,12/7/1976,Houston,Dolphins,Chargers,False,1
1156,2021,15,Antoine Wesley,10/22/1997,Texas Tech,College,Cardinals,False,1
1157,1999,16,Antoine Winfield,6/24/1977,Ohio St.,College,Bills,False,1
1158,2004,14,Antoine Winfield,6/24/1977,Ohio St.,Bills,Vikings,False,1
1159,2020,16,Antoine Winfield Jr.,8/16/1998,Minnesota,College,Buccaneers,False,1
1160,2023,7,Anton Harrison,2/2/2002,Oklahoma,College,Jaguars,True,1
1161,2002,13,Anton Palepoi,1/19/1978,UNLV,College,Seahawks,False,1
1162,2004,1,Anton Palepoi,1/19/1978,UNLV,Broncos,Seahawks,False,1
1163,2004,11,Anton Palepoi,1/19/1978,UNLV,Seahawks,Broncos,False,1
1164,2005,3,Anton Palepoi,1/19/1978,UNLV,Seahawks,Cardinals,False,1
1165,2014,15,Antone Exum,2/27/1991,Virginia Tech,College,Vikings,False,1
1166,2017,2,Antone Exum,2/27/1991,Virginia Tech,Vikings,49ers,False,1
1167,2010,9,Antone Smith,9/17/1985,Florida St.,College,Falcons,False,1
1168,2015,5,Antone Smith,9/17/1985,Florida St.,Falcons,Bears,False,1
1169,2016,3,Antone Smith,9/17/1985,Florida St.,Bears,Buccaneers,False,1
1170,2012,7,Antonio Allen,9/23/1988,South Carolina,College,Jets,False,1
1171,2014,4,Antonio Andrews,8/17/1992,Western Kentucky,College,Titans,False,1
1172,1999,6,Antonio Banks,3/12/1973,Virginia Tech,College,Vikings,False,1
1173,2003,16,Antonio Brown,3/3/1978,West Virginia,College,Bills,False,1
1174,2004,3,Antonio Brown,3/3/1978,West Virginia,Bills,Commanders,False,1
1175,2010,9,Antonio Brown,7/10/1988,Central Michigan,College,Steelers,False,1
1176,2019,1,Antonio Brown,7/10/1988,Central Michigan,Steelers,Patriots,False,1
1177,2020,8,Antonio Brown,7/10/1988,Central Michigan,Patriots,Buccaneers,False,1
1178,2002,16,Antonio Bryant,3/9/1981,Pittsburgh,College,Cowboys,False,1
1179,2004,5,Antonio Bryant,3/9/1981,Pittsburgh,Browns,Cowboys,False,1
1180,2004,10,Antonio Bryant,3/9/1981,Pittsburgh,Cowboys,Browns,False,1
1181,2005,16,Antonio Bryant,3/9/1981,Pittsburgh,Cowboys,Browns,False,1
1182,2006,14,Antonio Bryant,3/9/1981,Pittsburgh,Browns,49ers,False,1
1183,2008,16,Antonio Bryant,3/9/1981,Pittsburgh,49ers,Buccaneers,False,1
1184,2018,16,Antonio Callaway,1/9/1997,Florida,College,Browns,False,1
1185,2020,5,Antonio Callaway,1/9/1997,Florida,Browns,Dolphins,False,1
1186,2003,16,Antonio Chatman,2/12/1979,Cincinnati,College,Packers,False,1
1187,2006,3,Antonio Chatman,2/12/1979,Cincinnati,Packers,Bengals,False,1
1188,1999,4,Antonio Cochran,6/21/1976,Georgia,College,Seahawks,False,1
1189,2005,3,Antonio Cochran,6/21/1976,Georgia,Seahawks,Cardinals,False,1
1190,2010,8,Antonio Coleman,9/1/1986,Auburn,College,Bills,False,1
1191,2006,16,Antonio Cromartie,4/15/1984,Florida St.,College,Chargers,False,1
1192,2010,15,Antonio Cromartie,4/15/1984,Florida St.,Chargers,Jets,False,1
1193,2014,16,Antonio Cromartie,4/15/1984,Florida St.,Jets,Cardinals,False,1
1194,2015,15,Antonio Cromartie,4/15/1984,Florida St.,Cardinals,Jets,False,1
