SOURCE,Rank,Player,Weight,Height,40YD,AVG POS RANK,AVG OVR RANK,Rating,Summary
NFLDraftBuzz,155,Damien Martinez,232,6-0,4.51,10.0,106.5,81.4,"Martinez thrives in downhill, gap-scheme offenses where his patience, vision, and punishing running style create maximum impact. Watching..."
NFLDraftBuzz,156,Tyler Baron,260,6-5,4.62,41.0,135.4,81.4,Baron brings immediate value as a designated pass rusher with room to develop into a more complete defender. His film reveals a technically...
NFLDraftBuzz,157,Antwaun Powell-Rylan...,252,6-3,4.69,43.0,142.0,81.3,"When I watch Powell-Ryland's tape, I see a technician who's figured out how to maximize his toolbox despite physical limitations. His pass..."
NFLDraftBuzz,158,Jah Joyner,265,6-5,4.6,47.0,162.8,81.3,Joyner enters the NFL as a developmental prospect whose draft position reflects the significant gap between his athletic gifts and current...
NFLDraftBuzz,159,Tommi Hill,205,6-0,4.55,37.0,166.8,81.3,Tommi Hill presents an intriguing package for NFL teams looking for a developmental cornerback with upside. His ball skills and...
NFLDraftBuzz,160,Kalel Mullings,233,6-2,4.62,24.0,176.6,81.3,"Mullings brings a bruising, north-south running style to the table that will appeal to teams looking for a power back. His blend of..."
NFLDraftBuzz,161,James Burnip,236,6-6,4.95,,303.5,81.2,Burnip's progression from raw Australian prospect to polished SEC punter demonstrates both his natural talent and dedication to...
NFLDraftBuzz,162,Ben Sauls,185,5-10,4.9,,306.8,81.2,Sauls profiles as an NFL-ready kicker who should compete for a starting role immediately while offering considerable long-term upside. His...
NFLDraftBuzz,163,Ryan Fitzgerald,190,6-1,5.2,,322.3,81.2,Fitzgerald projects as an immediate NFL starter with the potential to become a franchise cornerstone at the position. His remarkable...
NFLDraftBuzz,164,Ty Robinson,310,6-6,4.83,34.0,109.4,81.1,Robinson fits the bill of a rotational defensive lineman with starting upside if he can refine his technical skills. His combination of...
NFLDraftBuzz,165,RJ Harvey,208,5-9,4.4,12.0,115.3,81.1,"Harvey brings a dynamic skill set to the table with his elite speed and elusiveness, making him an intriguing prospect for teams..."
NFLDraftBuzz,166,Barryn Sorrell,260,6-4,4.68,14.0,124.0,81.0,"Sorrell brings a lunch-pail mentality to the defensive front, offering immediate value as an early-down run defender with the technical..."
NFLDraftBuzz,167,Seth McLaughlin,305,6-4,5.2,24.0,129.5,81.0,The tape shows a technically sound center with excellent mental processing who thrives in zone-heavy concepts where his leverage and...
NFLDraftBuzz,168,Chase Lundt,305,6-8,5.4,27.0,138.7,81.0,"A fascinating study in development potential, Lundt profiles as an ideal fit for zone-heavy schemes that can maximize his movement skills..."
NFLDraftBuzz,169,Jake Briningstool...,240,6-6,4.75,10.0,144.7,81.0,Briningstool projects as a specialized passing game weapon who brings immediate value on third downs and in red zone packages. His blend of...
NFLDraftBuzz,170,DJ Giddens,212,6-1,4.43,13.0,115.6,80.9,Giddens brings a dynamic rushing skillset that stands in stark contrast to his raw receiving and blocking abilities. His tape reveals a...
NFLDraftBuzz,171,Kyle Williams,186,6-0,4.4,20.0,118.6,80.9,"Film study shows Williams has the vertical speed and natural feel for finding soft spots in coverage that NFL teams look for, but his..."
NFLDraftBuzz,172,Jonah Monheim,310,6-5,5.0,40.0,195.0,80.9,Monheim brings a mixed bag to the NFL level – displaying quality technical proficiency but facing genuine physical limitations that will...
NFLDraftBuzz,173,Ollie Gordon II,225,6-2,4.61,17.0,141.5,80.8,Gordon projects as a physical downhill runner whose value lies primarily in his early-down and short-yardage capabilities. His running...
NFLDraftBuzz,174,Ajani Cornelius,315,6-5,5.15,29.0,153.7,80.8,The tape reveals a bruiser in the run game who wins with raw power but shows concerning technical deficiencies in pass protection...
NFLDraftBuzz,175,Jaydon Blue,200,6-0,4.38,18.0,154.2,80.7,"Blue has home run-hitting potential that offensive coordinators will salivate over, but his limited college production and rough edges..."
NFLDraftBuzz,176,Raheim Sanders,230,6-0,4.46,23.0,172.8,80.7,"Raheim Sanders is quickly making waves as a top-tier RB prospect, flashing a tantalizing combination of downhill power and big-play..."
NFLDraftBuzz,177,Willie Lampkin,290,5-11,5.2,36.0,179.3,80.6,Lampkin represents the most fascinating projection puzzle in this entire draft class. His tape screams Day 2 selection with immediate...
NFLDraftBuzz,178,Quincy Riley,195,6-0,4.48,28.0,105.9,80.5,Riley projects as a valuable nickel corner with the potential to develop into a starting outside cornerback. His ball skills and...
NFLDraftBuzz,179,Jack Nelson,316,6-7,5.1,31.0,160.4,80.5,Nelson strikes me as a Day 3 selection with clear strengths that could make him an immediate depth piece with starter upside if developed...
NFLDraftBuzz,180,Elijah Roberts,278,6-4,4.78,46.0,162.0,80.4,Roberts belongs in a 3-4 defense as a base end where his 285-pound frame and power at the point of attack will cause problems for opposing...
NFLDraftBuzz,181,Jack Kiser,231,6-2,4.62,18.0,169.0,80.3,The film doesn't lie with Kiser – what you're getting is a throwback linebacker who excels against the run but will face challenges in...
NFLDraftBuzz,182,Dont'e Thornton Jr....,214,6-5,4.3,21.0,146.8,80.2,Thornton projects as a high-ceiling developmental receiver who could dictate coverage as a field-stretcher in vertical offensive systems....
NFLDraftBuzz,183,Connor Colby,310,6-6,5.11,37.0,183.0,80.2,"Colby projects as a mid-to-late round developmental guard whose run-blocking prowess will get him drafted, but pass protection limitations..."
NFLDraftBuzz,184,JJ Pegues,325,6-2,5.15,38.0,119.5,80.1,"A powerful interior defender with rare athletic traits, Pegues transitioned from tight end to defensive tackle after transferring from..."
NFLDraftBuzz,185,Vernon Broughton,305,6-4,4.9,35.0,109.5,80.0,Broughton profiles as an ascending talent whose best football lies ahead. His combination of explosive athleticism and scheme versatility...
NFLDraftBuzz,186,CJ West,317,6-2,4.95,37.0,116.4,80.0,"Put West in a one-gap, attacking front and watch him thrive as a disruptive early-down specialist. His innate ability to maintain leverage..."
NFLDraftBuzz,187,Jaylen Reed,209,6-0,4.49,35.0,152.8,80.0,"A physical tone-setter with the versatility to fill multiple roles in an NFL defensive backfield, Reed brings immediate value on all..."
NFLDraftBuzz,188,Upton Stout,182,5-9,4.44,34.0,152.7,80.0,Stout will fit in as a developmental nickel corner whose immediate impact may come primarily on special teams while he adjusts to the...
NFLDraftBuzz,189,Jarquez Hunter,209,5-10,4.44,19.0,160.8,80.0,Hunter possesses the tools to be a dynamic complement in an NFL backfield with potential to grow into a featured role. His combination of...
NFLDraftBuzz,190,Que Robinson,241,6-5,4.6,19.0,174.2,80.0,Raw but toolsy edge defender with the frame and twitch to develop into a situational pass rusher. Shows juice off the edge with natural...
NFLDraftBuzz,191,Tyrion Ingram-Dawki...,280,6-5,4.86,44.0,156.4,79.9,The gap between Ingram-Dawkins' run defense and pass rushing ability tells the story of a player with half-developed tools. When asked to...
NFLDraftBuzz,192,Woody Marks,208,5-10,4.52,22.0,170.7,79.9,Marks brings a dynamic skill set to the modern NFL game where versatile backs have become increasingly valuable. The tape reveals a runner...
NFLDraftBuzz,193,Oronde Gadsden II,236,6-5,4.62,12.0,182.9,79.9,Gadsden projects as a flex tight end who brings immediate value as a passing game mismatch while requiring significant development as a...
NFLDraftBuzz,194,Clay Webb,310,6-3,5.11,44.0,203.2,79.9,Webb brings a blue-collar mentality and exceptional run-blocking chops to the interior offensive line conversation. His wrestling...
NFLDraftBuzz,195,Antwane Wells Jr.,205,6-0,4.58,29.0,201.8,79.7,"Looking at the tape, Wells offers intriguing value as a physical possession receiver with occasional big-play capability. The numbers tell..."
NFLDraftBuzz,196,Tyler Cooper,310,6-6,5.15,42.0,199.3,79.6,The tape shows a technically sound guard who wins with length and leverage rather than raw power or elite athleticism. Cooper excels when...
NFLDraftBuzz,197,KeAndre Lambert-Smit...,182,6-1,4.37,30.0,206.4,79.6,Lambert-Smith projects as a high-upside developmental receiver who could provide immediate value as a deep threat while his route tree...
NFLDraftBuzz,198,Tahj Brooks,230,5-10,4.52,26.0,211.2,79.5,Watching Tahj Brooks' film reveals a Day 3 talent who makes up for average athletic traits with excellent running instincts and...
NFLDraftBuzz,199,Brandon Crenshaw-Dic...,322,6-7,5.33,47.0,218.6,79.5,Crenshaw-Dickson's extensive starting experience and positional versatility make him an intriguing prospect for NFL teams seeking...
NFLDraftBuzz,200,Caleb Rogers,310,6-5,5.1,32.0,161.8,79.4,"Rogers brings day-one depth value across multiple positions, with his best football likely coming inside at guard where his length..."
NFLDraftBuzz,201,Thomas Fidone II,255,6-6,4.7,13.0,183.0,79.3,"Fidone brings legitimate vertical stretch capability with his 4.70 speed and outstanding catch radius, making him particularly dangerous on..."
NFLDraftBuzz,202,Jay Higgins,232,6-2,4.82,24.0,233.8,79.3,"Jay Higgins fits the mold of a potential three-down WILL in a 4-3 front at the next level, with the instincts and coverage chops to stay on..."
NFLDraftBuzz,203,Jason Marshall Jr....,201,6-1,4.43,58.0,238.8,79.2,"Jason Marshall Jr. projects as a solid starting cornerback in the NFL, with the potential to develop into a true lockdown defender. His..."
NFLDraftBuzz,204,Donovan Edwards,212,6-1,4.44,30.0,254.3,79.1,"Donovan Edwards showcases a dynamic blend of explosiveness and versatility, making him a high-upside NFL prospect. His dual-threat..."
NFLDraftBuzz,205,Joshua Gray,310,6-4,5.04,34.0,170.2,79.0,Gray presents an intriguing mix of verified athleticism and technical development needs as he transitions to the pro game. His combine...
NFLDraftBuzz,206,Caleb Ransaw,196,6-0,4.33,39.0,175.8,79.0,"When the pads come on, Ransaw will earn his paycheck as a sub-package defender with immediate special teams value. His natural role falls..."
NFLDraftBuzz,207,Luke Lachey,247,6-6,4.77,14.0,184.3,79.0,Lachey projects as a high-upside tight end prospect with day two draft potential. His overall player rank of 54 suggests he's viewed...
NFLDraftBuzz,208,Nazir Stackhouse,320,6-3,5.15,57.0,231.3,79.0,Stackhouse brings immediate value in the run game where his anchor strength and gap discipline shine brightest. His ability to hold ground...
NFLDraftBuzz,209,Jalen McLeod,236,6-1,4.64,25.0,238.0,79.0,"After breaking down McLeod's tape, I'm convinced he's going to make defensive coordinators very happy at the next level. The film against..."
NFLDraftBuzz,210,Karene Reid,226,6-0,4.75,27.0,251.6,79.0,"What jumps out immediately is his comfort working in the intermediate areas of the field, where his instincts and quick processing allow..."
NFLDraftBuzz,211,Addison West,305,6-3,5.1,70.0,325.5,79.0,"West shows solid technical refinement in the run game, where he moves defenders off their spots with consistent leverage and finish. When..."
NFLDraftBuzz,212,Kyle Monangai,209,5-9,4.6,20.0,160.9,78.9,"Monangai runs with a fury that defies his compact stature. His ability to create through contact jumps off the screen, showing a natural..."
NFLDraftBuzz,213,R.J. Mickens,210,6-0,4.49,43.0,193.0,78.9,Mickens projects as a versatile safety who can contribute in multiple packages right away while developing into a potential starter. His...
NFLDraftBuzz,214,Luke Elzinga,229,6-4,4.9,,413.7,78.9,"After breaking down the film, Elzinga profiles as a day-three selection who could immediately compete for a starting role. His..."
NFLDraftBuzz,215,Jordan Hancock,195,6-1,4.42,49.0,220.2,78.8,Hancock enters the league with clear strengths in coverage versatility but equally evident limitations that will define his early career...
NFLDraftBuzz,216,Kobe Hudson,200,6-1,4.57,32.0,222.8,78.8,The game tape reveals a receiver with the tools to carve out a specific role at the next level. Hudson's clear strength lies in his ability...
NFLDraftBuzz,217,Alijah Huzzie,195,5-10,4.55,47.0,215.5,78.7,Film study reveals a natural slot defender with clear NFL-ready traits alongside notable physical limitations. Huzzie's exceptional...
NFLDraftBuzz,218,Ricky White III,190,6-1,4.44,35.0,234.3,78.7,The team that drafts White needs to understand exactly what they're getting – a technician who wins with craftiness rather than...
NFLDraftBuzz,219,Craig Woodson,210,6-0,4.45,56.0,235.0,78.7,Woodson projects as a scheme-specific safety who excels when playing downhill and keeping the action in front of him. His instincts shine...
NFLDraftBuzz,220,Robert Longerbeam,178,5-11,4.39,50.0,221.8,78.6,"When the tape rolls, Longerbeam shows moments that make you sit up straight – fluid hips that allow him to mirror routes with minimal..."
NFLDraftBuzz,221,Howard Cross III,288,6-1,4.96,48.0,181.4,78.5,Cross enters the league as a defensive lineman whose calling card is creating interior havoc with quickness and technique rather than power...
NFLDraftBuzz,222,Simeon Barrow Jr.,290,6-3,4.98,50.0,197.0,78.5,"Barrow enters the NFL as a scheme-versatile defensive lineman with immediate value against the run. His natural leverage, hand technique,..."
NFLDraftBuzz,223,Phil Mafah,230,6-1,4.55,25.0,202.8,78.5,He's that throwback power back with surprising agility who's going to make his money between the tackles and in short-yardage situations....
NFLDraftBuzz,224,Akili Arnold,200,6-0,4.7,59.0,256.0,78.5,"Arnold brings a diverse skill set to the table, with the potential to carve out a role in sub-packages and on special teams from day..."
NFLDraftBuzz,225,Ja'Quinden Jackson,233,6-2,4.75,31.0,265.0,78.5,Jackson projects as a specialized hammer in an NFL backfield committee where his bulldozing running style and power-based game can be...
NFLDraftBuzz,226,Alex Mastromanno,241,6-1,4.8,,269.0,78.5,"Mastromanno enters the NFL draft as one of the most intriguing specialist prospects in recent years. His combination of elite leg strength,..."
NFLDraftBuzz,227,Carson Vinson,305,6-6,5.12,45.0,206.0,78.4,Vinson projects as a developmental tackle prospect who could compete for a swing tackle role by mid-season of his rookie year. His stellar...
NFLDraftBuzz,228,RJ Oben,262,6-3,4.93,56.0,225.0,78.3,"Oben projects as a rotational edge defender with the potential to develop into a solid starter. His combination of prototypical size,..."
NFLDraftBuzz,229,Desmond Watson,464,6-5,5.92,66.0,295.0,78.2,Watson projects as one of the most unique developmental prospects in this draft class – a true boom-or-bust selection who brings...
NFLDraftBuzz,230,Jermari Harris,189,6-1,4.56,51.0,227.7,78.1,"In an NFL increasingly dominated by hybrid coverages and pattern-matching schemes, Harris brings a specialized skill set that demands the..."
NFLDraftBuzz,231,Cam Jackson,342,6-6,5.17,45.0,157.0,78.0,"Jackson profiles as a developmental two-down run stuffer with the physical tools to grow into more. His combination of size, length, and..."
NFLDraftBuzz,232,Isaac TeSlaa,217,6-4,4.43,27.0,174.8,78.0,TeSlaa's ceiling is significantly higher than his draft position will suggest. Teams looking for a matchup problem who can align both...
NFLDraftBuzz,233,Bilhal Kone,190,6-2,4.43,41.0,182.6,78.0,"Kone brings an intriguing skill set to the NFL as a boundary corner with natural movement skills that belie his 6'1"" frame. The tape shows..."
NFLDraftBuzz,234,Dante Trader Jr.,196,5-11,4.52,42.0,189.3,78.0,A developmental prospect with the tools to contribute in sub-packages early while he refines his skill set. Best fit is in a defense that...
NFLDraftBuzz,235,Ja'Corey Brooks,195,6-3,4.65,28.0,201.7,78.0,"When evaluating Brooks, the film shows both promise and limitations that explain his mid-to-late round consideration. His 4.65 deep speed..."
NFLDraftBuzz,236,Fadil Diggs,261,6-5,4.57,52.0,206.8,78.0,The tape shows a pass rush specialist whose game has clear strengths and defined limitations. Diggs' ability to get after the quarterback...
NFLDraftBuzz,237,Corey Kiner,210,5-9,4.57,27.0,220.8,78.0,"Kiner has the makings of a reliable early-down runner in a committee backfield, where his tackle-breaking ability and consistent forward..."
NFLDraftBuzz,238,Ahmed Hassanein,272,6-3,4.77,55.0,224.5,78.0,Hassanein fits the role of a developmental edge defender with starter upside who could make an immediate impact as a situational pass...
NFLDraftBuzz,239,Tyler Batty,275,6-5,4.78,54.0,223.5,78.0,"A high-motor edge defender with three-down potential, Batty brings a lunch-pail mentality to the trenches. His ability to set a firm..."
NFLDraftBuzz,240,Jabbar Muhammad,185,5-10,4.47,52.0,228.0,78.0,Muhammad is a fascinating study in how technique and instinctive play can compensate for physical limitations. His film reveals a...
NFLDraftBuzz,241,Mac McWilliams,185,5-10,4.41,53.0,231.0,78.0,McWilliams fits best as a slot corner in a zone-heavy scheme where his processing speed and quick-trigger athleticism can shine. His...
NFLDraftBuzz,242,Shemar James,229,6-1,4.69,23.0,230.6,78.0,The NFL transition for James will hinge entirely on scheme fit and role definition. The tape reveals a linebacker who flashes in specific...
NFLDraftBuzz,243,Cam Horsley,306,6-4,5.04,59.0,235.0,78.0,"Horsley's Shrine Game performance showcased intriguing pass rush potential, but the larger body of work at BC tells a more nuanced story...."
NFLDraftBuzz,244,Jamon Dumas-Johnso...,245,6-1,4.5,26.0,242.2,78.0,"Dumas-Johnson projects as a high-floor prospect with the potential to be an immediate contributor in the NFL. His combination of size,..."
NFLDraftBuzz,245,CJ Dippre,262,6-5,4.69,16.0,240.4,78.0,Dippre projects as a developmental Y-tight end whose immediate value comes as an in-line blocker with enough receiving chops to keep...
NFLDraftBuzz,246,Theo Wease Jr.,192,6-2,4.56,38.0,250.3,78.0,Wease brings a valuable skill set to the table as a boundary receiver with exceptional ball skills in the intermediate and deep passing...
NFLDraftBuzz,247,Kitan Crawford,206,5-11,4.41,60.0,256.3,78.0,"The film shows a safety whose explosive athleticism jumps off the screen, particularly when attacking downhill or carrying receivers..."
NFLDraftBuzz,248,Sam Brown Jr.,195,6-2,4.44,37.0,236.8,77.5,Sam Brown's NFL trajectory hinges on his ability to translate his explosive athleticism into consistent on-field production. His knack...
NFLDraftBuzz,249,LaJohntay Wester,167,5-11,4.46,39.0,252.3,77.5,"Despite his diminutive stature, Wester projects as an immediate contributor as a slot receiver and punt returner at the next level. His..."
NFLDraftBuzz,250,Zeek Biggers,320,6-6,5.14,62.0,260.5,77.4,Put on the Miami tape and you'll see exactly what Biggers brings to an NFL defensive line - a massive frame that absolutely refuses to...
NFLDraftBuzz,251,Teddye Buchanan,235,6-2,4.6,28.0,253.0,77.3,"The tape shows a player who understands his limitations and plays within himself. His success at Cal wasn't flashy, but rather built on..."
NFLDraftBuzz,252,Roc Taylor,215,6-3,4.49,51.0,303.3,77.3,"Film study reveals a receiver whose game is built for Sunday success, particularly in systems that emphasize intermediate route concepts..."
NFLDraftBuzz,253,Ty Hamilton,295,6-3,4.95,40.0,132.7,77.2,The tape shows a defensive lineman who brings day one impact against the run with clear areas to develop as a pass rusher. Hamilton's heavy...
NFLDraftBuzz,254,Jeremy Crawshaw,205,6-4,4.85,,338.0,77.2,Crawshaw will likely move in and become an immediate NFL starter with the potential to become a genuine field-position weapon. His...
NFLDraftBuzz,255,Jackson Hawes,260,6-5,4.94,11.0,173.8,77.0,"NFL scouts searching for the next George Kittle won't find their man in Hawes, but teams emphasizing a physical run game will discover a..."
NFLDraftBuzz,256,Jaylin Smith,190,5-11,4.45,44.0,198.5,77.0,Smith's film reveals a developmental prospect whose versatility could be both blessing and curse at the next level. His experience across...
NFLDraftBuzz,257,Tonka Hemingway,288,6-3,5.01,51.0,197.4,77.0,Hemingway projects as a rotational defensive tackle in a 4-3 scheme at the next level. His ability to penetrate and disrupt in the...
NFLDraftBuzz,258,Cody Lindenberg,240,6-3,4.71,21.0,220.8,77.0,"Looking ahead to the NFL, Lindenberg fits as a potential three-down linebacker who could make an immediate impact as a two-down player..."
NFLDraftBuzz,259,Bru McCoy,230,6-3,4.5,36.0,234.4,77.0,"McCoy fits as a potential X receiver in the NFL, with the size and strength to win on the outside. His ability to make contested catches..."
NFLDraftBuzz,260,Maxen Hook,203,6-0,4.55,55.0,234.0,77.0,"After diving deep into Hook's tape, what stands out is a safety who plays with outstanding discipline and awareness, even if he lacks the..."
NFLDraftBuzz,261,Hunter Wohler,218,6-2,4.57,54.0,233.6,77.0,Wohler's NFL fit will be determined by defensive coordinators who can leverage his tackling ability and run defense skills effectively....
NFLDraftBuzz,262,Brandon Adams,190,6-3,4.53,57.0,238.2,77.0,"Looking ahead, Adams projects as a developmental prospect who could find a role in a press-heavy scheme that simplifies his..."
NFLDraftBuzz,263,Marcus Yarns,190,5-11,4.45,28.0,237.8,77.0,"Yarns profiles as a dynamic complement to an established NFL backfield, bringing home run potential and third-down versatility to keep..."
NFLDraftBuzz,264,Alijah Clark,187,6-1,4.5,62.0,265.2,77.0,Clark projects as a backup safety with core special teams value and potential to contribute in sub-packages. His combination of length and...
NFLDraftBuzz,265,John Williams,322,6-4,5.17,56.0,278.7,77.0,"The tape shows a player caught between two positions - a tackle whose technical prowess can't quite mask his athletic limitations, and a..."
NFLDraftBuzz,266,Hayden Conner,320,6-5,5.18,61.0,286.3,77.0,Conner profiles as an immediate contributor with starter upside at guard in a zone-heavy system that emphasizes pass protection. His...
NFLDraftBuzz,267,Brant Kuithe,236,6-2,4.6,21.0,290.4,77.0,"What you're getting with Kuithe is a dynamic receiving weapon disguised as a tight end. His value lies primarily in the passing game, where..."
NFLDraftBuzz,268,Torricelli Simpkins III...,319,6-5,5.45,67.0,319.0,77.0,Simpkins projects as an intriguing developmental prospect whose elite pass protection skills give him immediate value in passing...
NFLDraftBuzz,269,Donovan Smith,235,6-5,4.63,19.0,357.0,77.0,"Smith's physical tools and developmental trajectory make him an intriguing Day 2 prospect with Day 1 upside. His plus size, arm talent, and..."
NFLDraftBuzz,270,Logan Parr,314,6-4,5.1,54.0,271.0,76.6,His production shows a developmental interior lineman with immediate backup potential and core special teams value. Natural movement skills...
NFLDraftBuzz,271,Moliki Matavao,263,6-6,4.81,18.0,264.8,76.5,I'm convinced Matavao is built for modern NFL zone-heavy passing attacks. The film shows a tight end who consistently punishes defenses...
NFLDraftBuzz,272,Jahvaree Ritzie,290,6-4,4.95,70.0,306.7,76.2,Ritzie profiles as a rotational defensive lineman who will need specific scheme fits to maximize his somewhat limited toolset. His best...
NFLDraftBuzz,273,Davin Vann,280,6-2,4.79,81.0,335.5,76.2,"A high-motor defender with the versatility to play multiple techniques along the defensive front. Thrives as a run defender, using..."
NFLDraftBuzz,274,Ben Yurosek,245,6-4,4.64,15.0,217.7,76.1,"Benjamin Yurosek brings a strong set of skills to the table as he transitions to the NFL. His excellent hands, ability..."
NFLDraftBuzz,275,Kaden Prather,210,6-3,4.46,26.0,174.7,76.0,"Kaden Prather brings an intriguing blend of size, ball skills, and big-play ability to the NFL Draft conversation. His frame and catch..."
NFLDraftBuzz,276,Nick Martin,220,6-0,4.59,20.0,194.7,76.0,"A heat-seeking missile at the second level, Martin possesses the tools to be a three-down impact player in today's NFL. His elite..."
NFLDraftBuzz,277,Jacory Croskey-Merr...,208,5-11,4.45,32.0,270.7,76.0,
NFLDraftBuzz,278,Rayuan Lane III,197,5-11,4.57,65.0,276.8,76.0,Lane projects as a developmental safety prospect with immediate special teams value at the next level. His impressive 4.43 speed and...
NFLDraftBuzz,279,Kevin Jennings,189,6-0,4.6,16.0,279.0,76.0,"The live arm talent and elite production under pressure jump off the tape, particularly his rare ability to defeat the blitz with..."
NFLDraftBuzz,280,Bryson Nesbit,235,6-5,4.88,22.0,292.2,76.0,Bryson Nesbit's college career at North Carolina showcased his potential as a dynamic playmaker. His versatility as a WR/TE...
NFLDraftBuzz,281,Xzavier Henderson,200,6-3,4.7,60.0,349.0,76.0,Henderson's frame and catch radius project him as a potential possession receiver and red zone threat at the next level. His ability to...
NFLDraftBuzz,282,Henry Parrish Jr.,185,5-10,4.55,45.0,476.0,76.0,"Parrish's toolkit suggests potential as a complementary back in a committee approach at the next level. His vision, lateral agility,..."
NFLDraftBuzz,283,Kai Kroeger,213,6-4,5.0,,353.7,75.5,"Kroeger brings a polished, NFL-ready skill set that should translate immediately at the next level. His combination of consistent leg..."
NFLDraftBuzz,284,Brady Cook,215,6-2,4.59,14.0,250.0,75.4,"Cook looks like a potential QB2 at the next level. His football IQ, short-area accuracy, and elite wheels for the position make him an..."
NFLDraftBuzz,285,Ethan Downs,265,6-4,4.69,65.0,276.5,75.2,Ethan Downs has Day 3 value as a high-floor run defender who brings immediate special teams impact and developmental upside as a...
NFLDraftBuzz,286,Shilo Sanders,195,6-0,4.54,72.0,302.7,75.2,"Despite the setback of a shoulder injury, Shilo Sanders remains one of the most intriguing safety prospects in the 2025 draft class. His..."
NFLDraftBuzz,287,Aubrey Burks,209,5-11,4.5,73.0,310.7,75.2,Burks projects as a versatile safety with the potential to contribute in multiple defensive packages at the next level. His excellent zone...
NFLDraftBuzz,288,Jalen Travis,340,6-7,5.14,35.0,178.7,75.0,Jalen Travis currently fits the typical profile of a developmental offensive tackle prospect with the physical tools to compete at the...
NFLDraftBuzz,289,Kyren Lacy,213,6-2,4.6,31.0,215.0,75.0,A multi-faceted receiver with the tools to contribute early in his NFL career. Possesses the route-running acumen and release skills to...
NFLDraftBuzz,290,Collin Oliver,240,6-2,4.56,22.0,222.2,75.0,"Oliver projects as a versatile defensive weapon at the next level, with the potential to contribute in multiple roles. His pass-rushing..."
NFLDraftBuzz,291,Elijhah Badger,192,6-1,4.43,34.0,224.5,75.0,Badger fits the mold of a complementary receiver who can contribute from multiple alignments in an NFL offense. His natural ball...
NFLDraftBuzz,292,Drew Kendall,299,6-4,5.05,48.0,234.6,75.0,"Outstanding in the screen game, both because of his instincts to deceive defenders and mobility to get out in front and land blocks...."
NFLDraftBuzz,293,Warren Brinson,310,6-4,5.09,60.0,237.7,75.0,Warren Brinson's tape reveals a run-first defensive lineman whose impact comes primarily when holding ground against single blocks. His...
NFLDraftBuzz,294,Garrett Dellinger,322,6-5,5.1,49.0,239.8,75.0,"Dellinger brings a solid foundation of skills to the table, particularly excelling in pass protection where his anchor and hand usage..."
NFLDraftBuzz,295,Xavier Truss,320,6-7,5.24,50.0,246.2,75.0,Xavier Truss projects as a solid Day 2 prospect with the potential to develop into a reliable starter at the next level. His combination of...
NFLDraftBuzz,296,Montrell Johnson Jr.,216,5-11,4.41,29.0,250.5,75.0,"Johnson is a natural playmaker, at his best with the ball in his hands. Not truly explosive, but possesses enough speed to beat..."
NFLDraftBuzz,297,Traeshon Holden,205,6-3,4.57,42.0,267.5,75.0,Holden projects as an ascending talent with the potential to significantly boost his draft stock in the 2024 season. With Troy Franklin's...
NFLDraftBuzz,298,Robbie Ouzts,270,6-4,4.91,19.0,266.8,75.0,"At a time when fullbacks seemed destined for extinction, Ouzts offers intriguing value as a hybrid player who can fill multiple roles in..."
NFLDraftBuzz,299,Andrew Armstrong,202,6-4,4.5,43.0,270.0,75.0,"When the ball's in the air, Armstrong shows he belongs in an NFL receiver room. His success in the intermediate passing game jumps off..."
NFLDraftBuzz,300,Francisco Mauigoa,230,6-3,4.6,34.0,279.3,75.0,"Mauigoa's tape pops more than his draft stock suggests, hinting at a potential diamond in the rough for mid-round shoppers. His three-down..."
NFLDraftBuzz,301,Quinn Carroll,315,6-7,5.59,63.0,305.0,75.0,"The technical foundation is there in pass pro - smooth kickslide, good anchor, and high football IQ when working against stunts and..."
NFLDraftBuzz,302,Eric Gregory,320,6-4,5.14,69.0,303.0,75.0,
NFLDraftBuzz,303,Joshua Simon,259,6-4,4.65,24.0,308.3,75.0,
NFLDraftBuzz,304,Gino Garcia,215,6-2,4.85,,312.0,75.0,Garcia looks like an immediate contributor who can handle all placement duties from day one while providing valuable kickoff versatility....
NFLDraftBuzz,305,Jordan Watkins,200,5-11,4.37,54.0,325.7,75.0,
NFLDraftBuzz,306,Cooper Mays,310,6-4,5.1,72.0,327.7,75.0,A technician at the pivot who compensates for size limitations with advanced hand usage and precise footwork in pass protection....
NFLDraftBuzz,307,Amari Kight,318,6-7,5.26,77.0,381.0,75.0,The tape shows a developmental tackle with adequate anchor strength and plus length who wins primarily with his extension and...
NFLDraftBuzz,308,DJ Uiagalelei,252,6-4,4.87,21.0,379.3,75.0,DJ Uiagalelei's college career has been a mix of high potential and inconsistent performance. His ridiculously strong...
NFLDraftBuzz,309,Kamren Fabiculanan,200,6-1,4.78,79.0,406.0,75.0,"The Washington safety brings starter-quality coverage traits to the table, particularly excelling in pattern-match concepts where his..."
NFLDraftBuzz,310,De'Corian Clark,220,6-3,4.45,66.0,408.0,75.0,"A big-bodied pass-catcher with a nose for the end zone, Clark brings an intriguing skill set to the next level. His ability to win in..."
NFLDraftBuzz,311,Aydan White,189,6-0,4.5,80.0,410.5,75.0,White projects as a potential starter in zone-heavy schemes that maximize his read-and-react skills. His ball-hawking ability and coverage...
NFLDraftBuzz,312,Makari Paige,208,6-4,4.49,81.0,415.0,75.0,The tape shows a developmental safety prospect with the frame and movement skills to contribute in multiple defensive packages. His...
